folder_path,top_level_root,depth,parent_path,direct_file_count,recursive_file_count,direct_subfolder_count,top_ext_direct,last_modified_direct,governed_by_setting,manifest_category,manifest_currency,type,status,usage_description,added_at,last_reviewed_at
_analytics/bible_books/Num,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:40:04Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Obad,_analytics,3,_analytics/bible_books,6,9,3,".md:5, .json:1",2026-08-05T14:52:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Obad/_seg,_analytics,4,_analytics/bible_books/Obad,1,1,0,.json:1,2026-07-04T10:02:46Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Obad/phase1-views,_analytics,4,_analytics/bible_books/Obad,1,1,0,.md:1,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Obad/readings,_analytics,4,_analytics/bible_books/Obad,1,1,0,.md:1,2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Phil,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:11:29Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Phlm,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:16:51Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov,_analytics,3,_analytics/bible_books,10,921,6,".md:5, .csv:5",2026-08-09T13:53:14Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/_read,_analytics,4,_analytics/bible_books/Prov,713,713,0,.json:713,2026-07-14T03:43:18Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/_reread,_analytics,4,_analytics/bible_books/Prov,76,76,0,.md:76,2026-07-14T04:20:43Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/_roles,_analytics,4,_analytics/bible_books/Prov,8,9,1,".json:7, .md:1",2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/_roles/readings,_analytics,5,_analytics/bible_books/Prov/_roles,1,1,0,.md:1,2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/_seg,_analytics,4,_analytics/bible_books/Prov,11,11,0,.json:11,2026-07-04T05:37:07Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/phase1-views,_analytics,4,_analytics/bible_books/Prov,31,31,0,.md:31,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/readings,_analytics,4,_analytics/bible_books/Prov,51,71,1,.md:51,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Prov/readings/_catchup,_analytics,5,_analytics/bible_books/Prov/readings,20,20,0,.md:20,2026-07-12T05:00:59Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps,_analytics,3,_analytics/bible_books,11,1054,9,".md:6, .csv:5",2026-08-09T13:52:36Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_archive,_analytics,4,_analytics/bible_books/Ps,0,309,2,,,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_archive/_read,_analytics,5,_analytics/bible_books/Ps/_archive,159,159,0,".json:158, .md:1",2026-07-12T05:01:00Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_archive/_roles,_analytics,5,_analytics/bible_books/Ps/_archive,150,150,0,.json:150,2026-07-06T09:12:10Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_base-sources,_analytics,4,_analytics/bible_books/Ps,47,47,0,".json:46, .md:1",2026-07-12T08:57:50Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_family-analyses,_analytics,4,_analytics/bible_books/Ps,48,48,0,.md:48,2026-07-12T05:01:00Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_model,_analytics,4,_analytics/bible_books/Ps,75,75,0,".json:66, .md:9",2026-07-14T03:47:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_narratives,_analytics,4,_analytics/bible_books/Ps,99,99,0,".md:50, .json:46, .csv:3",2026-07-13T08:52:22Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_reread,_analytics,4,_analytics/bible_books/Ps,13,13,0,.md:13,2026-07-12T05:16:42Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/_synthesis,_analytics,4,_analytics/bible_books/Ps,2,2,0,.md:2,2026-07-12T05:00:51Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/phase1-views,_analytics,4,_analytics/bible_books/Ps,300,300,0,.md:300,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ps/readings,_analytics,4,_analytics/bible_books/Ps,150,150,0,.md:150,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Rev,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:09:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Rom,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:07:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ruth,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:42:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Song,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:53:59Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Titus,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:15:41Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zech,_analytics,3,_analytics/bible_books,1,30,3,.md:1,2026-08-09T14:01:17Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zech/_seg,_analytics,4,_analytics/bible_books/Zech,1,1,0,.json:1,2026-07-04T10:10:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zech/phase1-views,_analytics,4,_analytics/bible_books/Zech,14,14,0,.md:14,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zech/readings,_analytics,4,_analytics/bible_books/Zech,14,14,0,.md:14,2026-07-12T05:01:07Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zeph,_analytics,3,_analytics/bible_books,1,8,3,.md:1,2026-08-09T14:00:34Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zeph/_seg,_analytics,4,_analytics/bible_books/Zeph,1,1,0,.json:1,2026-07-04T07:30:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zeph/phase1-views,_analytics,4,_analytics/bible_books/Zeph,3,3,0,.md:3,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Zeph/readings,_analytics,4,_analytics/bible_books/Zeph,3,3,0,.md:3,2026-07-12T05:01:07Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/_archive,_analytics,3,_analytics/bible_books,0,19,1,,,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/_archive/_gate1-recovery,_analytics,4,_analytics/bible_books/_archive,19,19,0,.md:19,2026-07-12T05:00:47Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/_methodology,_analytics,3,_analytics/bible_books,2,2,0,.md:2,2026-07-12T05:00:47Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/_reports,_analytics,3,_analytics/bible_books,13,16,1,.md:13,2026-07-12T05:04:30Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/_reports/samples,_analytics,4,_analytics/bible_books/_reports,3,3,0,.md:3,2026-07-12T05:00:47Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/_synthesis,_analytics,3,_analytics/bible_books,4,4,0,".md:2, .txt:2",2026-07-12T05:00:51Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/scripts,_analytics,3,_analytics/bible_books,5,5,0,".ps1:4, .md:1",2026-07-13T09:25:13Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/characteristics,_analytics,2,_analytics,22,22,0,.md:22,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters,_analytics,2,_analytics,1,2733,51,.md:1,2026-07-12T04:59:14Z,cluster.quality_report_path; report.cluster_path,,,operations,authoritative,,2026-08-28T05:41:51Z,2026-08-28T05:41:57Z
_analytics/clusters/FLAG-Flag,_analytics,3,_analytics/clusters,5,5,0,".md:4, (none):1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear,_analytics,3,_analytics/clusters,1,230,5,(none):1,2026-06-05T03:48:55Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/Analysis,_analytics,4,_analytics/clusters/M01-Fear,57,57,0,.md:57,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/Data,_analytics,4,_analytics/clusters/M01-Fear,18,18,0,".json:16, .md:2",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01,_analytics,4,_analytics/clusters/M01-Fear,70,123,7,".md:56, .json:11, .txt:2, .zip:1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/Published,_analytics,5,_analytics/clusters/M01-Fear/M01,16,16,0,".md:14, .docx:2",2026-07-12T04:59:31Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/archive,_analytics,5,_analytics/clusters/M01-Fear/M01,1,1,0,.md:1,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/files abandoned session,_analytics,5,_analytics/clusters/M01-Fear/M01,4,4,0,.md:4,2026-05-15T14:45:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/files phase 12,_analytics,5,_analytics/clusters/M01-Fear/M01,13,13,0,".md:11, .json:2",2026-05-16T10:52:04Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/files vcg phase 7,_analytics,5,_analytics/clusters/M01-Fear/M01,7,7,0,".md:4, .json:3",2026-05-16T04:34:27Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/inputs,_analytics,5,_analytics/clusters/M01-Fear/M01,10,10,0,.md:10,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/M01/publishing,_analytics,5,_analytics/clusters/M01-Fear/M01,2,2,0,".docx:1, .md:1",2026-07-12T04:59:31Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/essays,_analytics,4,_analytics/clusters/M01-Fear,3,4,1,".pdf:1, .docx:1, .md:1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/essays/archive,_analytics,5,_analytics/clusters/M01-Fear/essays,1,1,0,.md:1,2026-07-12T04:59:07Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M01-Fear/findings,_analytics,4,_analytics/clusters/M01-Fear,27,27,0,.md:27,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger,_analytics,3,_analytics/clusters,8,116,4,".md:6, (none):1, .zip:1",2026-07-12T04:59:08Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/Data,_analytics,4,_analytics/clusters/M02-Anger,4,8,1,.json:4,2026-06-19T04:57:25Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/Data/archive,_analytics,5,_analytics/clusters/M02-Anger/Data,4,4,0,.json:4,2026-06-18T17:33:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/M02,_analytics,4,_analytics/clusters/M02-Anger,58,70,3,".md:48, .json:8, .zip:1, .txt:1",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/M02/Published,_analytics,5,_analytics/clusters/M02-Anger/M02,0,0,0,,,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/M02/inputs,_analytics,5,_analytics/clusters/M02-Anger/M02,10,10,0,.md:10,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/M02/publishing,_analytics,5,_analytics/clusters/M02-Anger/M02,2,2,0,".docx:1, .md:1",2026-07-12T04:59:32Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/essays,_analytics,4,_analytics/clusters/M02-Anger,3,3,0,".pdf:1, .docx:1, .md:1",2026-07-12T04:59:07Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M02-Anger/findings,_analytics,4,_analytics/clusters/M02-Anger,27,27,0,.md:27,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief,_analytics,3,_analytics/clusters,3,122,4,"(none):1, .zip:1, .md:1",2026-07-12T04:59:08Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/Data,_analytics,4,_analytics/clusters/M03-Grief,6,6,0,.json:6,2026-06-19T14:09:20Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03,_analytics,4,_analytics/clusters/M03-Grief,37,80,6,".md:29, .zip:4, .json:3, .txt:1",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03/files phase 5,_analytics,5,_analytics/clusters/M03-Grief/M03,3,3,0,".md:2, .json:1",2026-05-16T18:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03/files phase 7,_analytics,5,_analytics/clusters/M03-Grief/M03,11,11,0,".md:10, .json:1",2026-05-17T02:54:32Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03/files phase 9,_analytics,5,_analytics/clusters/M03-Grief/M03,5,5,0,.md:5,2026-05-17T03:43:50Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03/inputs,_analytics,5,_analytics/clusters/M03-Grief/M03,10,10,0,.md:10,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03/published,_analytics,5,_analytics/clusters/M03-Grief/M03,12,12,0,".md:11, .docx:1",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/M03/publishing,_analytics,5,_analytics/clusters/M03-Grief/M03,2,2,0,".docx:1, .md:1",2026-07-12T04:59:34Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/essays,_analytics,4,_analytics/clusters/M03-Grief,3,3,0,".pdf:1, .docx:1, .md:1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M03-Grief/findings,_analytics,4,_analytics/clusters/M03-Grief,30,30,0,".md:28, .json:2",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy,_analytics,3,_analytics/clusters,3,212,4,"(none):1, .zip:1, .md:1",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/Data,_analytics,4,_analytics/clusters/M04-Joy,7,7,0,.json:7,2026-06-20T04:02:59Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04,_analytics,4,_analytics/clusters/M04-Joy,75,166,15,".md:69, .json:4, .txt:2",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files boundary correction,_analytics,5,_analytics/clusters/M04-Joy/M04,9,9,0,".md:8, .zip:1",2026-05-18T09:56:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 3,_analytics,5,_analytics/clusters/M04-Joy/M04,3,3,0,.md:3,2026-05-17T07:15:56Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 5,_analytics,5,_analytics/clusters/M04-Joy/M04,3,3,0,".md:2, .json:1",2026-05-17T14:53:30Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 5 rejected v1,_analytics,5,_analytics/clusters/M04-Joy/M04,4,4,0,".md:3, .json:1",2026-05-17T11:14:01Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 7,_analytics,5,_analytics/clusters/M04-Joy/M04,12,12,0,".md:11, .json:1",2026-05-17T15:48:04Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 7 rejected v1,_analytics,5,_analytics/clusters/M04-Joy/M04,6,6,0,".md:5, .json:1",2026-05-17T11:53:59Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 9,_analytics,5,_analytics/clusters/M04-Joy/M04,5,5,0,.md:5,2026-05-17T18:18:03Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 9 delight,_analytics,5,_analytics/clusters/M04-Joy/M04,4,4,0,.md:4,2026-05-19T04:40:02Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 9 gladness,_analytics,5,_analytics/clusters/M04-Joy/M04,9,9,0,.md:9,2026-05-19T05:09:45Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 9 joy,_analytics,5,_analytics/clusters/M04-Joy/M04,5,5,0,.md:5,2026-05-19T02:57:34Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 9 pleasure,_analytics,5,_analytics/clusters/M04-Joy/M04,8,8,0,.md:8,2026-05-19T07:25:23Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files phase 9 synth,_analytics,5,_analytics/clusters/M04-Joy/M04,4,4,0,.md:4,2026-05-19T07:35:48Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/files vcg design,_analytics,5,_analytics/clusters/M04-Joy/M04,7,7,0,.md:7,2026-05-18T09:45:50Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/inputs,_analytics,5,_analytics/clusters/M04-Joy/M04,10,10,0,.md:10,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/M04/publishing,_analytics,5,_analytics/clusters/M04-Joy/M04,2,2,0,".docx:1, .md:1",2026-07-12T04:59:34Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/essays,_analytics,4,_analytics/clusters/M04-Joy,3,3,0,".pdf:1, .docx:1, .md:1",2026-07-12T04:59:08Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M04-Joy/findings,_analytics,4,_analytics/clusters/M04-Joy,33,33,0,.md:33,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love,_analytics,3,_analytics/clusters,2,116,4,"(none):1, .md:1",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/Data,_analytics,4,_analytics/clusters/M05-Love,8,8,0,.json:8,2026-06-20T05:06:11Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05,_analytics,4,_analytics/clusters/M05-Love,16,77,7,.md:16,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/files phase 2,_analytics,5,_analytics/clusters/M05-Love/M05,5,5,0,".json:3, .md:2",2026-05-07T07:25:13Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/files phase 3,_analytics,5,_analytics/clusters/M05-Love/M05,5,5,0,".md:3, .json:2",2026-05-07T09:11:24Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/files phase 4,_analytics,5,_analytics/clusters/M05-Love/M05,3,3,0,.md:3,2026-05-07T09:33:40Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/files phase 7,_analytics,5,_analytics/clusters/M05-Love/M05,4,4,0,.md:4,2026-05-07T12:09:00Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/files session 1 close,_analytics,5,_analytics/clusters/M05-Love/M05,18,18,0,".md:16, .json:2",2026-05-07T13:16:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/files session 2 consolidation,_analytics,5,_analytics/clusters/M05-Love/M05,16,16,0,".md:13, .json:2, .txt:1",2026-05-08T02:28:18Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/M05/inputs,_analytics,5,_analytics/clusters/M05-Love/M05,10,10,0,.md:10,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/essays,_analytics,4,_analytics/clusters/M05-Love,8,13,1,".md:3, .pdf:3, .docx:2",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/essays/archive,_analytics,5,_analytics/clusters/M05-Love/essays,5,5,0,".docx:2, .md:2, .pdf:1",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M05-Love/findings,_analytics,4,_analytics/clusters/M05-Love,16,16,0,.md:16,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate,_analytics,3,_analytics/clusters,2,94,4,"(none):1, .md:1",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/Data,_analytics,4,_analytics/clusters/M06-Hate,3,3,0,.json:3,2026-06-20T06:02:23Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/M06,_analytics,4,_analytics/clusters/M06-Hate,31,67,3,".md:29, .json:1, .docx:1",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/M06/files-20260506-v3,_analytics,5,_analytics/clusters/M06-Hate/M06,24,24,0,.md:24,2026-07-12T04:59:37Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/M06/inputs,_analytics,5,_analytics/clusters/M06-Hate/M06,10,10,0,.md:10,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/M06/publishing,_analytics,5,_analytics/clusters/M06-Hate/M06,2,2,0,".docx:1, .md:1",2026-07-12T04:59:37Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/essays,_analytics,4,_analytics/clusters/M06-Hate,3,3,0,".docx:1, .md:1, .pdf:1",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M06-Hate/findings,_analytics,4,_analytics/clusters/M06-Hate,19,19,0,.md:19,2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame,_analytics,3,_analytics/clusters,3,171,4,"(none):1, .zip:1, .md:1",2026-07-12T04:59:10Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/Data,_analytics,4,_analytics/clusters/M07-Shame,2,2,0,.json:2,2026-06-20T14:48:05Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07,_analytics,4,_analytics/clusters/M07-Shame,71,110,7,".md:61, .json:9, .txt:1",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/files phase 3,_analytics,5,_analytics/clusters/M07-Shame/M07,2,2,0,.md:2,2026-05-19T11:51:36Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/files phase 5,_analytics,5,_analytics/clusters/M07-Shame/M07,3,3,0,".md:2, .json:1",2026-05-19T13:08:32Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/files phase 7,_analytics,5,_analytics/clusters/M07-Shame/M07,11,11,0,".md:10, .json:1",2026-05-19T15:56:26Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/files phase 8_5,_analytics,5,_analytics/clusters/M07-Shame/M07,3,3,0,".md:2, .json:1",2026-05-19T17:15:28Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/files phase 9,_analytics,5,_analytics/clusters/M07-Shame/M07,8,8,0,.md:8,2026-05-20T09:57:45Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/inputs,_analytics,5,_analytics/clusters/M07-Shame/M07,10,10,0,.md:10,2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/M07/publishing,_analytics,5,_analytics/clusters/M07-Shame/M07,2,2,0,".docx:1, .md:1",2026-07-12T04:59:38Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/essays,_analytics,4,_analytics/clusters/M07-Shame,3,3,0,".docx:1, .md:1, .pdf:1",2026-07-12T04:59:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M07-Shame/findings,_analytics,4,_analytics/clusters/M07-Shame,53,53,0,".md:52, .json:1",2026-07-12T05:02:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride,_analytics,3,_analytics/clusters,3,172,4,"(none):1, .zip:1, .md:1",2026-07-12T04:59:11Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/Data,_analytics,4,_analytics/clusters/M08-Pride,2,2,0,.json:2,2026-06-21T03:50:46Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08,_analytics,4,_analytics/clusters/M08-Pride,60,144,7,".md:48, .json:11, .txt:1",2026-07-12T05:02:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08/files phase 5,_analytics,5,_analytics/clusters/M08-Pride/M08,27,27,0,".json:17, .md:10",2026-06-02T12:18:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08/files phase 5 a,_analytics,5,_analytics/clusters/M08-Pride/M08,3,3,0,".md:2, .json:1",2026-05-20T17:56:08Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08/files phase 7,_analytics,5,_analytics/clusters/M08-Pride/M08,11,11,0,".md:10, .json:1",2026-05-21T03:19:28Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08/files phase 9,_analytics,5,_analytics/clusters/M08-Pride/M08,8,9,1,.md:8,2026-05-21T11:28:48Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08/files phase 9 all files,_analytics,5,_analytics/clusters/M08-Pride/M08,22,22,0,".md:19, .json:3",2026-05-21T09:25:38Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/clusters/M08-Pride/M08/files phase 9/archive,_analytics,6,_analytics/clusters/M08-Pride/M08/files phase 9,1,1,0,.md:1,2026-05-21T04:24:08Z,,,,,,,2026-08-28T05:41:51Z,
