reading_id,span_id,book,chapter,verse_ref,corpus,genre,passage_id,anchor,lemma,strongs,morph,pos,stem,surface_en,hebrew_form,translit,translit_conf,char_key,ib_char,base_gloss,read_sense_variants,esv_words,family,cluster,cluster_all,same_as,role_provenance,char_candidate_tag,lemma_freq_book,ib_instance_count,sense,type,source,seat,bearer,operation,target,object_kind,manner,intensity,specifier,effect,coupling,prohibition,reading,discovery_flag,role,locus,direction,verse_text
H6662:righteou#262910,262910,20,11,Pro 11:9,OT,poetic/wisdom,3913,0,H6662,H6662,HAampa,adjective,,righteous,,,none,H6662:righteou,righteous,righteous,"the righteous — whose paths one keeps to | righteousness — the righteous, whose dwelling is blessed | righteousness — the righteous whose path brightens toward full day | righteousness — the righteous who increases in learning | righteousness — whose mouth is a fountain of life | righteousness — whose wage leads to life | righteousness — whose tongue is choice silver | righteousness — whose lips feed many | righteousness — whose desire is granted | righteousness — established forever",righteous,righteousness-integrity,,,267009|267700|267814|268774|262623|262666|262672|262477|262515|262551|262558|262583|262590|262609|262628|262636|262643|262898|262701|262792|262803|262839|262857|262864|263074|263085|263102|262919|262939|262946|263015|263048|263269|263298|263221|263231|263246|263379|263490|263780|263714|263727|264111|264204|264390|265051|265129|265151|265218|265595|265764|265770|266524|266543|266687|266796,read-2026,Reg 139 righteousness,48,57,righteousness — delivered by knowledge,disposition,ABSENT,NONE,the righteous,the righteous who are delivered through knowledge,the knowledge that delivers them (262909),abstraction,NONE,ABSENT,ABSENT,ABSENT,welded to the knowledge that saves them,ABSENT,tsaddiq — 'the righteous are delivered'; knowledge and righteousness together rescue from the destroyer's mouth.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:9 With his mouth the godless man would destroy his neighbor , but by knowledge the righteous are delivered ."
H6662:righteou#262701,262701,20,11,Pro 11:10,OT,poetic/wisdom,3913,0,H6662,H6662,HAampa,adjective,,righteous,,,none,H6662:righteou,righteous,righteous,"the righteous — whose paths one keeps to | righteousness — the righteous, whose dwelling is blessed | righteousness — the righteous whose path brightens toward full day | righteousness — the righteous who increases in learning | righteousness — whose mouth is a fountain of life | righteousness — whose wage leads to life | righteousness — whose tongue is choice silver | righteousness — whose lips feed many | righteousness — whose desire is granted | righteousness — established forever",righteous,righteousness-integrity,,,267009|267700|267814|268774|262623|262666|262672|262477|262515|262551|262558|262583|262590|262609|262628|262636|262643|262898|262910|262792|262803|262839|262857|262864|263074|263085|263102|262919|262939|262946|263015|263048|263269|263298|263221|263231|263246|263379|263490|263780|263714|263727|264111|264204|264390|265051|265129|265151|265218|265595|265764|265770|266524|266543|266687|266796,read-2026,Reg 139 righteousness,48,57,righteousness — at whose good the city rejoices,disposition,ABSENT,NONE,the righteous,the righteous whose prosperity makes the whole city rejoice,the city's rejoicing (262703),other,NONE,ABSENT,ABSENT,ABSENT,welded to the public gladness they bring,ABSENT,"tsaddiq — 'when it goes well with the RIGHTEOUS, the city rejoices'; the righteous' good is a public good; a community is glad for them.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:10 When it goes well with the righteous , the city rejoices , and when the wicked perish there are shouts of gladness ."
H5970:rejoic#262703,262703,20,11,Pro 11:10,OT,poetic/wisdom,3913,0,H5970,H5970,HVqi3fs,verb,Qal,rejoices,,alats,head,H5970:rejoic,rejoices,to rejoice,communal joy — the city rejoices at the righteous' good,rejoices,joy-gladness,,,,read-2026,Reg 132 rejoicing,1,1,communal joy — the city rejoices at the righteous' good,affect,ABSENT,NONE,the city,the collective gladness of the city over the righteous' prosperity,the righteous who cause it (262701),person,NONE,ABSENT,ABSENT,ABSENT,welded to the righteous whose good evokes it,ABSENT,"alats (rejoice/exult) — 'the city REJOICES'; public, communal joy at the flourishing of the righteous. Righteousness blesses the wider community.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:10 When it goes well with the righteous , the city rejoices , and when the wicked perish there are shouts of gladness ."
H7563:wick#262704,262704,20,11,Pro 11:10,OT,poetic/wisdom,3913,0,H7563,H7563,HNcmpa,noun,,wicked,,,none,H7563:wick,wicked,wicked,"wickedness — the guilty who are cut off from the land | wickedness — the wicked whose ruin need not be feared | wickedness — the wicked, whose house draws the curse | wickedness — the wicked whose path is to be shunned | wickedness — the wicked whose way is deep darkness | wickedness — the wicked, trapped by his own evil | wickedness — the wicked whose reproof brings injury | wickedness — whose mouth conceals violence | wickedness — whose gain leads to sin | wickedness — whose heart is of little worth",wicked,wickedness-ungodliness,,,267017|267619|267697|267799|267823|268024|268758|262627|262668|262675|262481|262519|262555|262579|262587|262606|262612|262631|262647|262882|262901|262714|262758|262807|262868|263088|263091|263098|262924|262934|263016|263052|263272|263301|263179|263251|263319|263377|263487|263785|263795|263802|263718|263724|264017|264109|264182|264387|264573|264995|265264|265283|265087|265106|265108|265149|265223|265236|265774|302400|266121|266098|266519|266700|266547|266570|266682|266827|266775|266792,read-2026,Reg 57 evil,64,71,wickedness — at whose fall there are shouts of gladness,disposition,ABSENT,NONE,the wicked,the wicked whose perishing brings the city glad shouts,the gladness at their fall (262706),other,NONE,ABSENT,ABSENT,ABSENT,welded to the jubilation their ruin brings,ABSENT,rasha — 'when the wicked perish there are shouts of gladness'; the fall of the wicked is a relief and joy to the community they oppressed.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:10 When it goes well with the righteous , the city rejoices , and when the wicked perish there are shouts of gladness ."
H7440:gladnes#262706,262706,20,11,Pro 11:10,OT,poetic/wisdom,3913,0,H7440,H7440,HNcfsa,noun,,gladness,,rinnah,head,H7440:gladnes,gladness,cry,jubilation — the shouts at the wicked's fall,gladness,joy-gladness,,,,read-2026,Reg 188 weeping,1,1,jubilation — the shouts at the wicked's fall,affect,ABSENT,NONE,the city,the glad shouting of the city when the wicked perish,the wicked whose fall evokes it (262704),person,NONE,ABSENT,ABSENT,ABSENT,welded to the wicked whose ruin brings it,ABSENT,rinnah (ringing cry/jubilation) — 'shouts of GLADNESS'; the joyful relief of a community freed from the wicked. The city's collective exhalation.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:10 When it goes well with the righteous , the city rejoices , and when the wicked perish there are shouts of gladness ."
H1293:bless#262708,262708,20,11,Pro 11:11,OT,poetic/wisdom,3913,0,H1293,H1293,HNcfsc,noun,,blessing,,berakah,head,H1293:bless,blessing,blessing,"blessing — the LORD's, which makes rich | blessing — resting on the head of the righteous | blessing — the righteous man's remembered legacy | blessing — of the upright, which exalts a city | blessing — that the generous bring and are enriched by | blessing — on the head of the one who sells grain | blessing — the good that comes on those who rebuke the wicked","blessing, Blessings",blessing-benediction,,,262664|262673|262565|262817|262825|265837,read-2026,Reg 194 blessing,5,7,"blessing — of the upright, which exalts a city",state,ABSENT,NONE,the upright,the blessing of the upright that lifts up and exalts a whole city,the upright whose it is (262709),other,NONE,ABSENT,ABSENT,ABSENT,welded to the upright whose blessing exalts,ABSENT,berakah (blessing) — 'by the BLESSING of the upright a city is exalted'; the upright are a civic asset; their blessing raises the whole community.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:11 By the blessing of the upright a city is exalted , but by the mouth of the wicked it is overthrown ."
H3477:upright#262709,262709,20,11,Pro 11:11,OT,poetic/wisdom,3913,0,H3477G,H3477,HAampa,adjective,,upright,,yashar,head,H3477:upright,upright,upright:right; upright:straight,"uprightness — the straight who will inhabit the land | uprightness — the straight of heart for whom wisdom is stored | uprightness — the straight, who enjoy God's confidence | uprightness — whose blessing exalts the city | uprightness — guided by their integrity | uprightness — delivered by their righteousness | uprightness — whose mouth delivers | uprightness — whose tent flourishes | uprightness — who enjoy acceptance/favour | uprightness — whose path is a level highway",upright,righteousness-integrity,,,267055|267011|267691|262851|262886|263095|263552|263322|263799|263641|263875|264886|265294|265153|265240|266528|266760,read-2026,Reg 168 uprightness,17,18,uprightness — whose blessing exalts the city,disposition,ABSENT,NONE,the upright,the upright whose blessing lifts the city,the blessing that exalts it (262708),other,NONE,ABSENT,ABSENT,ABSENT,welded to the blessing they bring,ABSENT,"yashar (upright) — the upright's blessing 'exalts' a city, where the wicked's mouth overthrows it. Character has civic consequence.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:11 By the blessing of the upright a city is exalted , but by the mouth of the wicked it is overthrown ."
H7563:wick#262714,262714,20,11,Pro 11:11,OT,poetic/wisdom,3913,0,H7563,H7563,HNcmpa,noun,,wicked,,,none,H7563:wick,wicked,wicked,"wickedness — the guilty who are cut off from the land | wickedness — the wicked whose ruin need not be feared | wickedness — the wicked, whose house draws the curse | wickedness — the wicked whose path is to be shunned | wickedness — the wicked whose way is deep darkness | wickedness — the wicked, trapped by his own evil | wickedness — the wicked whose reproof brings injury | wickedness — whose mouth conceals violence | wickedness — whose gain leads to sin | wickedness — whose heart is of little worth",wicked,wickedness-ungodliness,,,267017|267619|267697|267799|267823|268024|268758|262627|262668|262675|262481|262519|262555|262579|262587|262606|262612|262631|262647|262882|262901|262704|262758|262807|262868|263088|263091|263098|262924|262934|263016|263052|263272|263301|263179|263251|263319|263377|263487|263785|263795|263802|263718|263724|264017|264109|264182|264387|264573|264995|265264|265283|265087|265106|265108|265149|265223|265236|265774|302400|266121|266098|266519|266700|266547|266570|266682|266827|266775|266792,read-2026,Reg 57 evil,64,71,wickedness — whose mouth overthrows the city,disposition,ABSENT,NONE,the wicked,the wicked whose mouth tears down and overthrows a city,(the upright's blessing that exalts),other,NONE,ABSENT,ABSENT,ABSENT,set against the upright whose blessing raises it,ABSENT,"rasha — 'by the mouth of the WICKED it is overthrown'; wicked speech is civically destructive, the antithesis of the upright's exalting blessing.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:11 By the blessing of the upright a city is exalted , but by the mouth of the wicked it is overthrown ."
H0936:belittl#262716,262716,20,11,Pro 11:12,OT,poetic/wisdom,3914,1,H0936,H0936,HVqrmsa,verb,Qal,belittles,,buz,head,H0936:belittl,belittles,to despise,contempt — despising one's neighbour,belittles,desire-longing-appetite,,,,read-2026,Reg 190 contempt,8,1,contempt — despising one's neighbour,affect,ABSENT,NONE,the contemptuous,the belittling/despising of a neighbour that betrays a lack of sense,lack of sense (262719),other,NONE,ABSENT,ABSENT,ABSENT,welded to the senselessness it reveals,ABSENT,buz (despise/belittle) — 'whoever BELITTLES his neighbour lacks sense'; contempt for others is itself senseless. Scorn exposes the scorner's emptiness.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:12 Whoever belittles his neighbor lacks sense , but a man of understanding remains silent ."
H3820:sens#262719,262719,20,11,Pro 11:12,OT,poetic/wisdom,3914,1,H3820A,H3820,HNcmsa,noun,,sense,,leb,head,H3820:sens,sense,heart,"heartlessness — the adulterer 'lacks heart' | heartlessness — the young man who 'lacks heart' | sense — the understanding heart the fools must gain | heartlessness — the one who lacks sense, Folly's target | heartlessness — the one who lacks sense, invited | heartlessness — the one who lacks sense, fit for the rod | heartlessness — the lack of sense that kills fools | heartlessness — the belittler lacks sense | heartlessness — the pursuer of worthless things lacks sense | heartlessness — the one who lacks sense delights in folly",sense,inner-seat-heart-soul-spirit,,,268256|268448|268643|268745|268708|262499|262564|262933|263663|264123|264133|264627|265866,read-2026,Reg 183 heart,64,14,heartlessness — the belittler lacks sense,cognition,ABSENT,NONE,the contemptuous,the lack of sense/heart shown by the one who belittles his neighbour,the belittling that shows it (262716),other,NONE,ABSENT,ABSENT,ABSENT,welded to the contempt that betrays it,ABSENT,leb (heart/sense) — 'LACKS sense'; to despise a neighbour is to lack heart. Contempt and folly go together.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:12 Whoever belittles his neighbor lacks sense , but a man of understanding remains silent ."
H8394:understand#262721,262721,20,11,Pro 11:12,OT,poetic/wisdom,3914,1,H8394,H8394,HNcfpa,noun,,understanding,,tebunah,head,H8394:understand,understanding,understanding,"understanding — that guards the person | understanding — toward which the heart inclines | understanding — for which the voice is raised | understanding — from God's mouth | understanding — the discernment gained | understanding — the LORD's, by which he established the heavens | understanding — the father's, to which the son inclines his ear | understanding — raising her voice with Wisdom | understanding — who takes pleasure in wisdom | understanding — the discerning who stays silent",understanding,knowing-understanding,,,267002|267031|267052|266948|267528|267568|267955|268452|262578|263459|263665|264217|264341|264632|265041|265254|265856|266577,read-2026,Reg 166 understanding,12,19,understanding — the discerning who stays silent,cognition,ABSENT,NONE,the discerning,the man of understanding who holds his peace rather than belittle,his silence (262722),other,NONE,ABSENT,ABSENT,ABSENT,welded to the restraint it produces,ABSENT,tebunah (understanding) — 'a man of UNDERSTANDING remains silent'; discernment restrains the tongue where folly belittles. Wisdom knows when to be silent.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:12 Whoever belittles his neighbor lacks sense , but a man of understanding remains silent ."
H2790:silent#262722,262722,20,11,Pro 11:12,OT,poetic/wisdom,3914,1,H2790B,H2790,HVhi3ms,verb,Hiphil,silent,,charash,head,H2790:silent,silent,be quiet; to plow/plot,"restraint — the discerning holds his peace | silence — the fool's, which passes for wisdom",silent,rest-stillness-peace,,,264220,read-2026,IB:to plow/plot,2,2,restraint — the discerning holds his peace,action,ABSENT,NONE,the discerning,the silence/holding-of-peace by which the understanding man forbears,the understanding that keeps it (262721),other,NONE,ABSENT,ABSENT,ABSENT,welded to the discernment that governs it,ABSENT,"charash (be silent/hold peace) — 'remains SILENT'; the wise man's restraint of speech, refusing the contempt the fool voices. Silence as discernment.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:12 Whoever belittles his neighbor lacks sense , but a man of understanding remains silent ."
H5475:secret#262725,262725,20,11,Pro 11:13,OT,poetic/wisdom,3915,1,H5475,H5475,HNcmsa,noun,,secrets,,sod,head,H5475:secret,secrets,counsel,confidence — betrayed by the slanderer | discretion — not betraying a confidence in the dispute,"secrets, secret",trust-refuge-security,,,264934|266164,read-2026,Reg 32 counsel,4,3,confidence — betrayed by the slanderer,state,ABSENT,NONE,the betrayed,the confidences/secrets that the gossip goes about revealing,"(the trustworthy who covers, by contrast)",other,NONE,ABSENT,ABSENT,ABSENT,set against the faithful spirit that keeps covered,ABSENT,"sod (secret/confidence) — 'whoever goes about slandering reveals SECRETS'; the gossip betrays confidence, the opposite of the trustworthy. Trust broken by the loose tongue.",present,characteristic,internal:ib-state,ABSENT,"Pro 11:13 Whoever goes about slandering reveals secrets , but he who is trustworthy in spirit keeps a thing covered ."
H0539:trustworthy#262726,262726,20,11,Pro 11:13,OT,poetic/wisdom,3915,1,H0539,H0539,HVNrmsc,verb,Niphal,trustworthy,,aman,head,H0539:trustworthy,trustworthy,be faithful,faithfulness — keeps a confidence covered,trustworthy,trust-refuge-security,,,,read-2026,Reg 60 faithfulness,4,1,faithfulness — keeps a confidence covered,disposition,ABSENT,NONE,the trustworthy,"the faithful, reliable person who keeps a matter covered",his faithful spirit (262727),other,NONE,ABSENT,ABSENT,ABSENT,welded to the steadfast spirit that holds it,ABSENT,aman (be faithful/trustworthy) — 'he who is TRUSTWORTHY in spirit keeps a thing covered'; faithfulness guards what is entrusted. Reliability of the discreet.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:13 Whoever goes about slandering reveals secrets , but he who is trustworthy in spirit keeps a thing covered ."
H7307:spirit#262727,262727,20,11,Pro 11:13,OT,poetic/wisdom,3915,1,H7307G,H7307,HNcfsa,noun,,spirit,,ruach,head,H7307:spirit,spirit,spirit: temper; spirit; spirit: breath; spirit: side,"spirit — the inner life/mind Wisdom pours out on those who turn to her | the spirit — steadfast, that keeps confidence | the spirit — crushed by heart-sorrow | the spirit — crushed by perverse speech | the spirit — governed by the self-mastered | the spirit — weighed by the LORD | the crushed spirit — which dries up the bones | calmness — a cool spirit marks understanding | the spirit — which sustains a man through sickness | the crushed spirit — which nothing can sustain",spirit,inner-seat-heart-soul-spirit,,,264748|263771|263591|308493|264001|264179|264215|308518|308522|266851,read-2026,Reg 184 spirit,5,11,"the spirit — steadfast, that keeps confidence",seat,ABSENT,NONE,the trustworthy,"the faithful, steadfast spirit that holds a confidence covered",the trustworthiness it seats (262726),other,NONE,ABSENT,ABSENT,ABSENT,welded to the faithfulness it carries,ABSENT,"ruach (spirit) — 'trustworthy in SPIRIT'; the inner steadfastness of the faithful, the seat of discretion. A reliable spirit keeps what it is given.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:13 Whoever goes about slandering reveals secrets , but he who is trustworthy in spirit keeps a thing covered ."
H8458:guidanc#262731,262731,20,11,Pro 11:14,OT,poetic/wisdom,3916,1,H8458,H8458,HNcfpa,noun,,guidance,,tachbuloth,head,H8458:guidanc,guidance,counsel,"guidance — steering, the skill of direction (from the sailor's ropes) | guidance — whose absence topples a people | wise steering — needed to wage war | strategy — the wise direction by which war is waged",guidance,knowing-understanding,,,264838|264928|265913,read-2026,Reg 32 counsel,3,4,guidance — whose absence topples a people,cognition,ABSENT,NONE,a people,the wise guidance/steering whose lack brings a people to ruin,the counselors who provide it (262735),other,NONE,ABSENT,ABSENT,ABSENT,welded to the counsel that supplies it,ABSENT,"tachbuloth (guidance/wise direction) — 'where there is no GUIDANCE, a people falls'; wise steering is essential; its absence is collapse. Counsel as the helm of a community.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:14 Where there is no guidance , a people falls , but in an abundance of counselors there is safety ."
H3289:counselor#262735,262735,20,11,Pro 11:14,OT,poetic/wisdom,3916,1,H3289,H3289,HVqrmsa,verb,Qal,counselors,,yaats,head,H3289:counselor,counselors,to advise,counsel — the many advisers who give safety | counsel — the many advisers in whom victory lies,counselors,wisdom-folly-teaching,,,265917,read-2026,emergent-read-2026,3,2,counsel — the many advisers who give safety,cognition,ABSENT,NONE,a people,the abundance of counselors whose counsel brings safety to a people,the guidance they supply (262731),other,NONE,ABSENT,ABSENT,ABSENT,welded to the guidance their counsel provides,ABSENT,yaats (counsel/advise) — 'in an abundance of COUNSELORS there is safety'; many wise advisers give security. Emergent: counsel/advising as the collective wisdom that safeguards a people.,present,characteristic,internal:ib-state,ABSENT,"Pro 11:14 Where there is no guidance , a people falls , but in an abundance of counselors there is safety ."
H7489:surelysuffer#262739,262739,20,11,Pro 11:15,OT,poetic/wisdom,3917,1,H7489A,H7489,HVNi3ms,verb,Niphal,surely suffer,,raa,head,H7489:surelysuffer,surely suffer,be evil; to shatter,being harmed — the rash guarantor surely suffers,surely suffer,faint-despair-languishing,,,,read-2026,Reg 57 evil,4,1,being harmed — the rash guarantor surely suffers,affect,ABSENT,NONE,the surety-giver,the harm that surely comes to one who pledges for a stranger,"(the security of the cautious, by contrast)",other,NONE,ABSENT,ABSENT,ABSENT,set against the security of the one who refuses pledges,ABSENT,"raa (be harmed, Niphal) — 'will surely SUFFER harm'; the rash pledge brings inevitable injury. Imprudent generosity that becomes bondage.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:15 Whoever puts up security for a stranger will surely suffer harm , but he who hates striking hands in pledge is secure ."
H8130:hat#262741,262741,20,11,Pro 11:15,OT,poetic/wisdom,3917,1,H8130,H8130,HVqrmsa,verb,Qal,hates,,sane,head,H8130:hat,hates,to hate,"to hate — their aversion to knowledge | hatred — the confessed hatred of discipline | divine revulsion — the things the LORD hates | aversion — hating the rash pledge | hatred — of reproof, which is stupidity | hatred — sparing the rod is hating one's son | aversion — the righteous' hatred of falsehood | being-hated — the schemer's fate | hatred — of reproof, which ends in death | incorruptibility — hating bribes, which brings life","hates, hated",malice-enmity-persecution,,,264792|267970|268125|262916|263270|263241|263366|263566|263710|266263|266292|266580|266856,read-2026,Reg 75 hatred,22,14,aversion — hating the rash pledge,affect,ABSENT,NONE,the prudent,the prudent aversion to striking hands in surety,the security it brings (262743),other,NONE,ABSENT,ABSENT,ABSENT,welded to the safety this aversion secures,ABSENT,"sane (hate) — 'he who HATES striking hands in pledge'; a wise, protective aversion to rash surety. Prudence expressed as refusal.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:15 Whoever puts up security for a stranger will surely suffer harm , but he who hates striking hands in pledge is secure ."
H0982:secur#262743,262743,20,11,Pro 11:15,OT,poetic/wisdom,3917,1,H0982,H0982,HVqrmsa,verb,Qal,secure,,batach,head,H0982:secur,secure,to trust,security — the one who shuns surety is safe,secure,trust-refuge-security,,,,read-2026,Reg 163 trust,10,1,security — the one who shuns surety is safe,state,ABSENT,NONE,the prudent,the security enjoyed by the one who refuses rash pledges,the aversion that secures it (262741),other,NONE,ABSENT,ABSENT,ABSENT,welded to the prudent hatred that keeps him safe,ABSENT,batach (be secure/confident) — 'is SECURE'; caution about pledges keeps a man safe. Security as the fruit of prudent restraint.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:15 Whoever puts up security for a stranger will surely suffer harm , but he who hates striking hands in pledge is secure ."
H2580:graciou#262744,262744,20,11,Pro 11:16,OT,poetic/wisdom,3918,1,H2580,H2580,HNcmsa,noun,,gracious,,chen,head,H2580:graciou,gracious,favor,graciousness — the gracious woman who gains honour | graciousness — gracious speech that wins the king's friendship,gracious,grace-mercy-compassion,,,265323,read-2026,Reg 68 grace,9,2,graciousness — the gracious woman who gains honour,disposition,ABSENT,NONE,the gracious woman,the graciousness by which a woman gains honour,the honour she wins (262747),abstraction,NONE,ABSENT,ABSENT,ABSENT,welded to the honour her grace secures,ABSENT,"chen (grace/graciousness) — 'a GRACIOUS woman gets honour'; inner grace wins lasting honour, set against the merely-grasping violent who get only riches.",present,characteristic,internal:ib-state,ABSENT,"Pro 11:16 A gracious woman gets honor , and violent men get riches ."
H3519:honor#262747,262747,20,11,Pro 11:16,OT,poetic/wisdom,3918,1,H3519,H3519,HNcmsa,noun,,honor,,kabod,head,H3519:honor,honor,glory,"honour — which follows humility | honor — the esteem wisdom bestows on her holder | honor — among Wisdom's endowments | honour — won by graciousness | honour — of keeping aloof from strife | honor — found by the one who pursues righteousness | incongruity — honour given a fool, absurdly out of season | danger — giving honour to a fool, like binding a stone in a sling | exaltation — the honour the lowly in spirit obtains",honor,praise-extol-sing,,,267551|268517|263764|264302|265020|265185|266170|266327|266853,read-2026,IB:glory,8,10,honour — won by graciousness,state,ABSENT,NONE,the gracious woman,the honour that the gracious woman secures,the graciousness that wins it (262744),other,NONE,ABSENT,ABSENT,ABSENT,welded to the grace that earns it,ABSENT,"kabod (honour) — 'gets HONOUR'; the enduring esteem grace wins, contrasted with the mere riches of the violent.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:16 A gracious woman gets honor , and violent men get riches ."
H6184:men#262748,262748,20,11,Pro 11:16,OT,poetic/wisdom,3918,1,H6184 H9002,H6184,HAampa HC,adjective,,men,,arits,head,H6184:men,men,ruthless,ruthlessness — the violent who grasp mere riches,men,wealth-poverty-riches,,,,read-2026,Reg 216 ruthlessness,1,1,ruthlessness — the violent who grasp mere riches,disposition,ABSENT,NONE,the violent,"the ruthless, aggressive men who seize riches",the riches they grasp (262750),abstraction,NONE,ABSENT,ABSENT,ABSENT,welded to the riches their violence grabs,ABSENT,"arits (ruthless/violent/terror-striking) — 'VIOLENT men get riches'; the aggressive grasp wealth but not honour. The read notes the trade — grace wins honour, violence only riches.",present,characteristic,internal:ib-state,ABSENT,"Pro 11:16 A gracious woman gets honor , and violent men get riches ."
H6239:rich#262750,262750,20,11,Pro 11:16,OT,poetic/wisdom,3918,1,H6239,H6239,HNcmsa,noun,,riches,,osher,head,H6239:rich,riches,riches,"riches — among Wisdom's endowments | riches — grasped by the violent | contentment — the prayer for sufficiency, wanting neither want nor wealth","riches, Riches",wealth-poverty-riches,,,268516|267310,read-2026,emergent-read-2026,4,3,riches — grasped by the violent,state,ABSENT,NONE,the violent,"the riches that ruthless, violent men seize",the violence that grasps them (262748),other,NONE,ABSENT,ABSENT,ABSENT,welded to the ruthlessness that grabs them,ABSENT,"osher (riches) — 'violent men get RICHES'; wealth without honour, the lesser prize of the ruthless. Emergent: riches as the violent's grasp, set below the gracious woman's honour.",present,characteristic,internal:ib-state,ABSENT,"Pro 11:16 A gracious woman gets honor , and violent men get riches ."
H2617:kind#262752,262752,20,11,Pro 11:17,OT,poetic/wisdom,3919,1,H2617A,H2617,HNcmsa,noun,,kind,,chesed,head,H2617:kind,kind,kindness; shame,kindness — the kind man benefits his own soul,kind,inner-seat-heart-soul-spirit,,,,read-2026,Reg 99 kindness,7,1,kindness — the kind man benefits his own soul,disposition,ABSENT,NONE,the kind man,the kindness by which a man does good to his own soul,his own soul benefited (262754),self,NONE,ABSENT,ABSENT,ABSENT,welded to the self it benefits,ABSENT,chesed (kindness/loyal-love) — 'a man who is KIND benefits himself'; kindness rebounds to bless its owner. Doing good to others is doing good to one's own soul.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:17 A man who is kind benefits himself , but a cruel man hurts himself ."
H5315:himself#262754,262754,20,11,Pro 11:17,OT,poetic/wisdom,3919,1,H5315I,H5315,HNcfsc,noun,,himself,,nephesh,head,H5315:himself,himself,soul: appetite; soul; soul: life; soul: myself; soul: person; soul: animal; soul: dead; soul: neck,the soul — self-injured by missing Wisdom | the soul — benefited by kindness | the self — despised by ignoring instruction | the self preserved — kept from trouble by guarded speech,himself,inner-seat-heart-soul-spirit,,,268626|263753|265197,read-2026,Reg 182 Soul,5,4,the soul — benefited by kindness,seat,ABSENT,NONE,the kind man,"the kind man's own soul, which his kindness benefits",the kindness that benefits it (262752),other,NONE,ABSENT,ABSENT,ABSENT,welded to the kindness that does it good,ABSENT,nephesh (soul/self) — 'benefits HIMSELF'; kindness enriches the doer's own inner life. Virtue is self-rewarding at the level of the soul.,absent,characteristic,internal:ib-state,ABSENT,"Pro 11:17 A man who is kind benefits himself , but a cruel man hurts himself ."
H0394:cruelman#262755,262755,20,11,Pro 11:17,OT,poetic/wisdom,3919,1,H0394 H9023,H0394,HAamsa HSp3ms,adjective,,cruel man,,akzari,head,H0394:cruelman,cruel man,cruel,cruelty — the cruel man harms his own flesh,cruel man,violence-cruelty,,,,read-2026,Reg 216 ruthlessness,1,1,cruelty — the cruel man harms his own flesh,disposition,ABSENT,NONE,the cruel man,the cruelty by which a man injures his own self,his own flesh hurt (262757),self,NONE,ABSENT,ABSENT,ABSENT,welded to the self it wounds,ABSENT,"akzari (cruel/ruthless) — 'a CRUEL man hurts himself'; cruelty rebounds to wound its owner. The ruthless damage their own flesh, the dark antithesis of self-benefiting kindness.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:17 A man who is kind benefits himself , but a cruel man hurts himself ."
H7607:himself#262757,262757,20,11,Pro 11:17,OT,poetic/wisdom,3919,1,H7607,H7607,HNcmsc,noun,,himself,,sheer,head,H7607:himself,himself,flesh,the flesh/self — hurt by cruelty,himself,inner-seat-heart-soul-spirit,,,,read-2026,Reg 185 flesh,1,1,the flesh/self — hurt by cruelty,seat,ABSENT,NONE,the cruel man,"the cruel man's own flesh/self, which his cruelty wounds",the cruelty that hurts it (262755),other,NONE,ABSENT,ABSENT,ABSENT,welded to the cruelty that injures it,ABSENT,"sheer (flesh/kin/self) — 'HURTS himself'; cruelty troubles one's own flesh. Vice is self-punishing, wounding the self it seems to arm.",absent,characteristic,internal:ib-state,ABSENT,"Pro 11:17 A man who is kind benefits himself , but a cruel man hurts himself ."
