"reference","position","surface","strong_variant","morph_code"
"1Ki 11:38","4","all","H0853","HTo"
"1Ki 11:38","48","Israel","H0853","HTo"
"1Ki 14:8","3","kingdom","H0853","HTo"
"1Ki 15:18","3","all","H0853","HTo"
"1Ki 15:18","16","treasures","H0853","HTo"
"1Ki 18:9","7","servant","H0853","HTo"
"1Ki 18:12","31","Lord","H0853","HTo"
"1Ki 18:36","30","all","H0853","HTo"
"1Ki 20:6","4","servants","H0853","HTo"
"1Ki 20:6","15","house","H0853","HTo"
"1Ki 20:6","18","houses","H0853","HTo"
"1Ki 20:12","7","message","H0853","HTo"
"1Ki 20:39","32","man","H0853","HTo"
"1Ki 22:3","18","out","H0853","HTo"
"2Ki 2:16","17","master","H0853","HTo"
"2Ki 4:1","27","Lord","H0853","HTo"
"2Ki 4:1","35","two","H0853","HTo"
"2Ki 5:6","23","Naaman","H0853","HTo"
"2Ki 5:26","24","money","H0853","HTo"
"2Ki 7:12","13","what","H0853","HTo"
"2Ki 8:13","22","king","H0853","HTo"
"2Ki 8:19","7","Judah","H0853","HTo"
"2Ki 9:7","2","house","H0853","HTo"
"2Ki 9:11","27","fellow","H0853","HTo"
"2Ki 9:11","30","talk","H0853","HTo"
"2Ki 9:28","1","servants","H0853","HTo"
"2Ki 9:28","10","tomb","H0853","HTo"
"2Ki 12:20","7","Joash","H0853","HTo"
"2Ki 12:21","15","with","H0853","HTo"
"2Ki 14:5","11","servants","H0853","HTo"
"2Ki 14:5","17","king","H0853","HTo"
"2Ki 17:13","33","fathers","H0853","HTo"
"2Ki 18:12","11","covenant","H0853","HTo"
"2Ki 18:12","17","commanded","H0853","HTo"
"2Ki 18:24","6","captain","H0853","HTo"
"2Ki 20:6","11","city","H0853","HTo"
"2Ki 21:8","31","servant","H0853","HTo"
"2Ki 21:23","6","king","H0853","HTo"
"2Ki 22:9","12","king","H0853","HTo"
"2Ki 22:9","18","money","H0853","HTo"
"2Ki 22:12","4","Hilkiah","H0853","HTo"
"2Ki 22:12","8","Ahikam","H0853","HTo"
"2Ki 22:12","13","Achbor","H0853","HTo"
"2Ki 22:12","18","Shaphan","H0853","HTo"
"2Ki 22:12","23","Asaiah","H0853","HTo"
"2Ki 24:12","20","king","H0853","HTo"
"1Ch 2:35","3","daughter","H0853","HTo"
"1Ch 2:35","15","Attai","H0853","HTo"
"1Ch 17:18","9","servant","H0853","HTo"
"1Ch 17:18","16","servant","H0853","HTo"
"1Ch 17:19","11","all","H0853","HTo"
"1Ch 17:19","19","all","H0853","HTo"
"1Ch 17:25","6","to your","H0853","HTo"
"1Ch 17:27","6","house","H0853","HTo"
"1Ch 18:2","2","Moab","H0853","HTo"
"1Ch 18:7","3","shields","H0853","HTo"
"1Ch 18:13","13","David","H0853","HTo"
"1Ch 19:4","4","servants","H0853","HTo"
"1Ch 19:4","9","garments","H0853","HTo"
"1Ch 21:8","13","thing","H0853","HTo"
"1Ch 21:8","19","iniquity","H0853","HTo"
"2Ch 6:16","13","what","H0853","HTo"
"2Ch 6:16","38","way","H0853","HTo"
"2Ch 6:23","9","servants","H0853","HTo"
"2Ch 9:7","17","wisdom","H0853","HTo"
"2Ch 9:12","9","all","H0853","HTo"
"2Ch 24:6","24","tax","H0853","HTo"
"2Ch 24:25","11","wounded","H0853","HTo"
"2Ch 25:3","10","servants","H0853","HTo"
"2Ch 25:3","16","king","H0853","HTo"
"2Ch 34:16","4","book","H0853","HTo"
"2Ch 34:16","14","king","H0853","HTo"
"2Ch 34:20","4","Hilkiah","H0853","HTo"
"2Ch 34:20","6","Ahikam","H0853","HTo"
"2Ch 34:20","11","Abdon","H0853","HTo"
"2Ch 34:20","16","Shaphan","H0853","HTo"
"2Ch 34:20","21","Asaiah","H0853","HTo"
"Ezr 9:9","28","house","H0853","HTo"
"Ezr 9:9","35","ruins","H0853","HTo"
"Neh 1:7","9","commandments","H0853","HTo"
"Neh 1:7","12","statutes","H0853","HTo"
"Neh 1:7","16","rules","H0853","HTo"
"Neh 1:7","23","Moses","H0853","HTo"
"Neh 1:8","4","word","H0853","HTo"
"Neh 1:8","9","Moses","H0853","HTo"
"Neh 1:8","19","among the peoples","H0853","HTo"
"Neh 2:20","4","God","H0853","HTo"
"Neh 9:14","4","Sabbath","H0853","HTo"
"Neh 9:36","16","fruit","H0853","HTo"
"Neh 9:36","19","good gifts","H0853","HTo"
"Neh 10:29","33","all","H0853","HTo"
"Est 2:18","14","feast","H0853","HTo"
"Est 3:3","17","command","H0853","HTo"
"Psa 79:2","2","bodies","H0853","HTo"
"Psa 102:14","5","stones","H0853","HTo"
"Psa 102:14","10","dust","H0853","HTo"
"Psa 105:42","4","promise","H0853","HTo"
"Psa 105:42","7","Abraham","H0853","HTo"
"Psa 119:135","10","statutes","H0853","HTo"
"Psa 134:1","6","Lord","H0853","HTo"
"Psa 144:10","8","David","H0853","HTo"
"Isa 36:9","6","captain","H0853","HTo"
"Isa 49:6","11","tribes","H0853","HTo"
"Isa 56:6","15","name","H0853","HTo"
"Jer 7:25","22","all","H0853","HTo"
"Jer 21:7","7","Zedekiah","H0853","HTo"
"Jer 21:7","11","servants","H0853","HTo"
"Jer 21:7","16","people","H0853","HTo"
"Jer 21:7","24","survive","H0853","HTo"
"Jer 22:4","8","word","H0853","HTo"
"Jer 25:4","7","ears","H0853","HTo"
"Jer 25:4","18","all","H0853","HTo"
"Jer 25:9","5","all","H0853","HTo"
"Jer 25:19","1","Pharaoh","H0853","HTo"
"Jer 25:19","5","servants","H0853","HTo"
"Jer 25:19","9","officials","H0853","HTo"
"Jer 25:19","13","all","H0853","HTo"
"Jer 29:19","16","servants","H0853","HTo"
"Jer 33:26","23","fortunes","H0853","HTo"
"Jer 34:13","14","out","H0853","HTo"
"Jer 35:15","4","all","H0853","HTo"
"Jer 35:15","49","ear","H0853","HTo"
"Jer 37:18","22","prison","H0853","HTo"
"Jer 43:10","14","Nebuchadnezzar","H0853","HTo"
"Jer 43:10","32","royal canopy","H0853","HTo"
"Eze 28:25","8","house","H0853","HTo"
"Eze 34:23","6","servant","H0853","HTo"
"Eze 34:23","8","servant","H0853","HTo"
"Eze 34:23","17","shepherd","H0853","HTo"
"Eze 37:24","23","statutes","H0853","HTo"
"Dan 1:12","3","servants","H0853","HTo"
"Dan 1:13","12","food","H0853","HTo"
"Dan 9:11","5","law","H0853","HTo"
"Joe 2:29","16","Spirit","H0853","HTo"
"Mic 6:4","17","Moses","H0853","HTo"
"Zec 1:6","11","servants","H0853","HTo"
"Zec 2:9","5","hand","H0853","HTo"
"Zec 3:8","25","servant","H0853","HTo"
"Mal 4:4","12","Horeb","H0853","HTo"
"Exo 6:6","11","under","H0853","HTo"
"Exo 6:6","18","slavery","H0853","HTo"
"Exo 6:6","25","arm","H0853","HTo"
"Exo 12:25","19","service","H0853","HTo"
"Exo 13:5","40","service","H0853","HTo"
"Exo 35:21","15","brought","H0853","HTo"
"Exo 35:21","19","contribution","H0853","HTo"
"Exo 35:24","9","contribution","H0853","HTo"
"Exo 36:1","25","all","H0853","HTo"
"Exo 39:32","15","Moses","H0853","HTo"
"Exo 39:42","6","Moses","H0853","HTo"
"Exo 39:42","12","all","H0853","HTo"
"Num 4:32","28","objects","H0853","HTo"
"Deu 26:6","2","Egyptians","H0853","HTo"
"Neh 10:37","2","first","H0853","HTo"
"Eze 29:18","6","army","H0853","HTo"
"Lev 23:30","14","person","H0853","HTo"
"Lev 26:38","4","land","H0853","HTo"
"Num 33:52","2","all","H0853","HTo"
"Num 33:52","11","all","H0853","HTo"
"Num 33:52","17","all","H0853","HTo"
"Num 33:52","24","all","H0853","HTo"
"Deu 4:26","2","heaven","H0853","HTo"
"Deu 4:26","5","earth","H0853","HTo"
"Deu 4:26","26","Jordan","H0853","HTo"
"Deu 7:20","7","hornets","H0853","HTo"
"Deu 7:24","6","name","H0853","HTo"
"Deu 7:24","23","them","H0853","HTo"
"Deu 8:19","5","Lord","H0853","HTo"
"Deu 11:4","15","water","H0853","HTo"
"Deu 12:2","4","all","H0853","HTo"
"Deu 12:2","16","gods","H0853","HTo"
"Deu 12:2","18","gods","H0853","HTo"
"Deu 12:3","2","altars","H0853","HTo"
"Deu 12:3","6","pillars","H0853","HTo"
"Deu 12:3","23","name","H0853","HTo"
"Deu 28:20","6","curses","H0853","HTo"
"Deu 28:20","9","confusion","H0853","HTo"
"Deu 28:20","12","frustration","H0853","HTo"
"Deu 28:51","29","you","H0853","HTo"
"Deu 30:18","21","Jordan","H0853","HTo"
"Jos 7:7","10","people","H0853","HTo"
"Jos 7:7","16","Jordan","H0853","HTo"
"Jos 7:7","21","hands","H0853","HTo"
"Jos 23:13","12","nations","H0853","HTo"
"1Sa 9:3","18","one","H0853","HTo"
"1Sa 9:3","27","donkeys","H0853","HTo"
"1Sa 9:20","15","mind","H0853","HTo"
"2Ki 11:1","12","all","H0853","HTo"
"2Ki 19:18","2","gods","H0853","HTo"
"2Ki 21:3","4","high places","H0853","HTo"
"2Ki 21:3","29","them","H0853","HTo"
"Est 3:13","19","all","H0853","HTo"
"Est 4:7","5","all","H0853","HTo"
"Est 4:7","10","exact sum","H0853","HTo"
"Est 4:16","3","all","H0853","HTo"
"Est 8:5","31","letters","H0853","HTo"
"Est 8:5","44","Jews","H0853","HTo"
"Est 8:11","36","children","H0853","HTo"
"Est 8:11","40","included","H0853","HTo"
"Est 9:12","19","ten","H0853","HTo"
"Ecc 7:15","6","everything","H0853","HTo"
"Isa 29:14","11","people","H0853","HTo"
"Isa 37:19","2","gods","H0853","HTo"
"Jer 12:17","4","nation","H0853","HTo"
"Jer 15:7","11","people","H0853","HTo"
"Jer 27:10","8","from","H0853","HTo"
"Jer 27:10","16","perish","H0853","HTo"
"Jer 27:15","18","perish","H0853","HTo"
"Jer 40:15","17","Ishmael","H0853","HTo"
"Jer 51:55","3","Babylon","H0853","HTo"
"Eze 25:7","6","hand","H0853","HTo"
"Eze 25:16","15","Cherethites","H0853","HTo"
"Eze 25:16","18","rest","H0853","HTo"
"Eze 32:13","2","all","H0853","HTo"
"Eze 34:4","2","weak","H0853","HTo"
"Eze 34:4","7","sick","H0853","HTo"
"Eze 34:4","18","strayed","H0853","HTo"
"Eze 34:4","24","lost","H0853","HTo"
"Eze 34:4","34","harshness","H0853","HTo"
"Eze 34:16","3","lost","H0853","HTo"
"Eze 34:16","7","strayed","H0853","HTo"
"Eze 34:16","16","weak","H0853","HTo"
"Eze 34:16","20","fat","H0853","HTo"
"Eze 34:16","24","strong","H0853","HTo"
"Mic 7:2","19","other","H0853","HTo"
"Zep 2:13","7","Assyria","H0853","HTo"
"Zep 2:13","10","Nineveh","H0853","HTo"
"1Sa 2:31","5","strength","H0853","HTo"
"1Sa 2:31","8","strength","H0853","HTo"
"2Ch 14:3","4","altars","H0853","HTo"
"2Ch 14:3","11","pillars","H0853","HTo"
"2Ch 14:3","15","Asherim","H0853","HTo"
"2Ch 31:1","22","high places","H0853","HTo"
"2Ch 31:1","25","altars","H0853","HTo"
"2Ch 34:4","3","altars","H0853","HTo"
"2Ch 34:7","3","altars","H0853","HTo"
"2Ch 34:7","7","Asherim","H0853","HTo"
"Zec 11:10","2","staff","H0853","HTo"
"Zec 11:10","5","Favor","H0853","HTo"
"Zec 11:10","9","annulling","H0853","HTo"
"Zec 11:10","12","covenant","H0853","HTo"
"Zec 11:14","5","staff","H0853","HTo"
"Zec 11:14","8","Union","H0853","HTo"
"Zec 11:14","13","brotherhood","H0853","HTo"
"Isa 41:7","3","goldsmith","H0853","HTo"
"Isa 41:7","7","strikes","H0853","HTo"
"Judg 6:25","13","bull","H0853","HTo"
"Judg 6:25","24","altar","H0853","HTo"
"Judg 6:25","36","Asherah","H0853","HTo"
"2Sa 11:25","12","matter","H0853","HTo"
"1Ki 18:30","17","altar","H0853","HTo"
"1Ki 19:10","16","altars","H0853","HTo"
"1Ki 19:10","20","prophets","H0853","HTo"
"1Ki 19:10","31","life","H0853","HTo"
"1Ki 19:14","16","altars","H0853","HTo"
"1Ki 19:14","20","prophets","H0853","HTo"
"1Ki 19:14","31","life","H0853","HTo"
"1Ch 20:1","14","army","H0853","HTo"
"1Ch 20:1","19","country","H0853","HTo"
"1Ch 20:1","25","Rabbah","H0853","HTo"
"1Ch 20:1","34","Rabbah","H0853","HTo"
"Jer 45:4","13","what","H0853","HTo"
"Jer 45:4","20","whole","H0853","HTo"
"Eze 13:14","3","wall","H0853","HTo"
"Eze 16:39","3","hands","H0853","HTo"
"Eze 16:39","14","clothes","H0853","HTo"
"Eze 26:4","14","bare","H0853","HTo"
"Exo 20:25","10","hewn stones","H0853","HTo"
"Exo 31:14","3","Sabbath","H0853","HTo"
"Lev 18:21","14","name","H0853","HTo"
"Lev 19:8","8","holy","H0853","HTo"
"Lev 19:12","10","name","H0853","HTo"
"Lev 19:29","3","daughter","H0853","HTo"
"Lev 20:3","4","face","H0853","HTo"
"Lev 20:3","13","among","H0853","HTo"
"Lev 20:3","25","sanctuary","H0853","HTo"
"Lev 20:3","35","name","H0853","HTo"
"Lev 21:6","18","food offerings","H0853","HTo"
"Lev 21:9","12","father","H0853","HTo"
"Lev 21:23","20","sanctuaries","H0853","HTo"
"Lev 22:9","2","charge","H0853","HTo"
"Lev 22:15","4","holy things","H0853","HTo"
"Lev 22:15","9","contribute","H0853","HTo"
"Lev 22:32","5","name","H0853","HTo"
"Num 18:32","10","best","H0853","HTo"
"Num 18:32","17","holy things","H0853","HTo"
"Neh 13:17","23","day","H0853","HTo"
"Eze 7:22","7","treasured","H0853","HTo"
"Eze 7:24","5","houses","H0853","HTo"
"Eze 20:16","9","statutes","H0853","HTo"
"Eze 20:16","16","Sabbaths","H0853","HTo"
"Eze 20:22","2","hand","H0853","HTo"
"Eze 20:22","18","sight","H0853","HTo"
"Eze 20:24","12","Sabbaths","H0853","HTo"
"Eze 22:8","6","Sabbaths","H0853","HTo"
"Eze 23:38","7","sanctuary","H0853","HTo"
"Eze 23:38","16","Sabbaths","H0853","HTo"
"Eze 23:39","5","children","H0853","HTo"
"Eze 36:20","10","name","H0853","HTo"
"Eze 36:23","5","name","H0853","HTo"
"Eze 39:7","2","name","H0853","HTo"
"Eze 39:7","15","name","H0853","HTo"
"Amo 2:7","25","name","H0853","HTo"
"Mal 1:12","5","say","H0853","HTo"
"2Ch 28:23","16","sacrifice","H0853","HTo"
"Deu 1:44","16","do","H0853","HTo"
"Deu 1:44","23","Seir","H0853","HTo"
"Deu 9:21","2","sinful","H0853","HTo"
"Deu 9:21","6","calf","H0853","HTo"
"Deu 9:21","13","fire","H0853","HTo"
"Deu 9:21","17","grinding","H0853","HTo"
"Deu 9:21","27","dust","H0853","HTo"
"2Ki 18:4","4","high places","H0853","HTo"
"2Ki 18:4","8","pillars","H0853","HTo"
"2Ki 18:4","12","Asherah","H0853","HTo"
"Zec 11:6","15","of them","H0853","HTo"
"Zec 11:6","30","land","H0853","HTo"
"Deu 28:59","4","afflictions","H0853","HTo"
"Deu 28:59","7","afflictions","H0853","HTo"
"Judg 15:8","2","hip","H0853","HTo"
"1Sa 4:8","21","Egyptians","H0853","HTo"
"1Sa 23:5","11","livestock","H0853","HTo"
"1Sa 23:5","21","inhabitants","H0853","HTo"
"1Ki 20:21","6","horses","H0853","HTo"
"1Ki 20:21","9","chariots","H0853","HTo"
"2Ki 8:29","34","Joram","H0853","HTo"
"2Ch 22:6","30","Joram","H0853","HTo"
"Isa 30:26","24","brokenness","H0853","HTo"
"Jer 14:17","7","word","H0853","HTo"
"Jer 19:8","5","city","H0853","HTo"
"Jer 30:14","7","nothing","H0853","HTo"
"Judg 7:19","22","watch","H0853","HTo"
"Psa 137:9","4","little ones","H0853","HTo"
"Dan 12:7","3","man","H0853","HTo"
"Jos 8:6","9","city","H0853","HTo"
"Judg 16:9","18","bowstrings","H0853","HTo"
"Psa 2:3","2","bonds","H0853","HTo"
"Eze 17:9","11","roots","H0853","HTo"
"Eze 17:9","15","fruit","H0853","HTo"
"Eze 17:9","34","from","H0853","HTo"
"Gen 19:15","15","wife","H0853","HTo"
"Gen 19:15","18","two","H0853","HTo"
"Jos 6:15","13","city","H0853","HTo"
"Jos 6:15","28","city","H0853","HTo"
"Judg 19:25","22","abused","H0853","HTo"
"Gen 31:50","3","daughters","H0853","HTo"
"Gen 34:2","1","Shechem","H0853","HTo"
"Gen 34:2","13","lay","H0853","HTo"
"Exo 1:11","17","Pithom","H0853","HTo"
"Exo 1:11","19","Raamses","H0853","HTo"
"Exo 22:23","1","If","H0853","HTo"
"Lev 16:29","16","yourselves","H0853","HTo"
"Lev 16:31","7","yourselves","H0853","HTo"
"Lev 23:27","20","yourselves","H0853","HTo"
"Lev 23:32","7","yourselves","H0853","HTo"
"Num 29:7","16","yourselves","H0853","HTo"
"Deu 8:2","2","whole","H0853","HTo"
"Deu 8:2","26","heart","H0853","HTo"
"Deu 22:24","2","both","H0853","HTo"
"Deu 22:24","14","stones","H0853","HTo"
"Deu 22:24","18","young woman","H0853","HTo"
"Deu 22:24","28","man","H0853","HTo"
"Deu 22:24","36","wife","H0853","HTo"
"Judg 16:19","10","seven","H0853","HTo"
"Judg 19:24","11","Violate","H0853","HTo"
"Judg 19:24","14","do","H0853","HTo"
"Judg 20:5","10","house","H0853","HTo"
"Judg 20:5","14","meant","H0853","HTo"
"Judg 20:5","21","concubine","H0853","HTo"
"2Sa 13:12","21","outrageous","H0853","HTo"
"2Sa 13:32","13","all","H0853","HTo"
"2Sa 13:32","38","Tamar","H0853","HTo"
"1Ki 2:26","28","ark","H0853","HTo"
"1Ki 8:35","19","name","H0853","HTo"
"1Ki 11:39","2","offspring","H0853","HTo"
"2Ch 6:26","20","name","H0853","HTo"
"Psa 132:1","9","endured","H0853","HTo"
"Zep 3:19","12","lame","H0853","HTo"
"Zep 3:19","27","all","H0853","HTo"
"Deu 21:4","8","heifer","H0853","HTo"
"Deu 21:4","23","heifer’s","H0853","HTo"
"Deu 21:6","14","hands","H0853","HTo"
"Exo 9:10","2","soot","H0853","HTo"
"Exo 9:10","10","Moses","H0853","HTo"
"Lev 13:12","13","skin","H0853","HTo"
"Lev 13:25","2","priest","H0853","HTo"
"Lev 13:25","26","priest","H0853","HTo"
"Lev 14:43","12","stones","H0853","HTo"
"Lev 14:43","18","house","H0853","HTo"
"Lev 19:10","19","Lord","H0853","HTo"
"Gen 30:30","16","turned","H0853","HTo"
"1Sa 3:1","6","Lord","H0853","HTo"
"2Sa 5:20","12","enemies","H0853","HTo"
"2Sa 13:27","7","Amnon","H0853","HTo"
"2Sa 13:27","9","all","H0853","HTo"
"2Ki 14:13","5","Amaziah","H0853","HTo"
"1Ch 14:11","13","enemies","H0853","HTo"
"2Ch 20:37","18","made","H0853","HTo"
"2Ch 24:7","8","house","H0853","HTo"
"2Ch 25:23","5","Amaziah","H0853","HTo"
"2Ch 26:6","6","wall","H0853","HTo"
"2Ch 26:6","9","wall","H0853","HTo"
"2Ch 26:6","13","wall","H0853","HTo"
"2Ch 32:5","3","all","H0853","HTo"
"2Ch 32:5","22","Millo","H0853","HTo"
"Psa 60:1","14","Aram-naharaim","H0853","HTo"
"Psa 60:1","16","Aram-zobah","H0853","HTo"
"Psa 60:1","25","Edom","H0853","HTo"
"Isa 5:5","5","what","H0853","HTo"
"Isa 5:5","7","what","H0853","HTo"
"Hos 4:10","11","Lord","H0853","HTo"
"1Ki 11:27","13","Millo","H0853","HTo"
"1Ki 11:27","16","breach","H0853","HTo"
"Neh 6:1","22","wall","H0853","HTo"
"Amo 9:11","6","booth","H0853","HTo"
"Amo 9:11","12","breaches","H0853","HTo"
"Exo 32:3","5","rings","H0853","HTo"
"Gen 17:14","7","flesh","H0853","HTo"
"Gen 17:14","21","covenant","H0853","HTo"
"Lev 26:15","12","rules","H0853","HTo"
"Lev 26:15","19","commandments","H0853","HTo"
"Lev 26:15","26","covenant","H0853","HTo"
"Num 15:31","7","commandment","H0853","HTo"
"Num 30:12","3","husband","H0853","HTo"
"Num 30:15","5","after","H0853","HTo"
"Num 30:15","12","iniquity","H0853","HTo"
"Deu 31:16","32","covenant","H0853","HTo"
"Judg 2:1","13","Egypt","H0853","HTo"
"Judg 2:1","18","land","H0853","HTo"
"1Ki 15:19","25","covenant","H0853","HTo"
"Neh 4:15","14","plan","H0853","HTo"
"Jer 11:10","12","words","H0853","HTo"
"Jer 11:10","30","covenant","H0853","HTo"
"Jer 31:32","22","covenant","H0853","HTo"
"Jer 33:20","6","covenant","H0853","HTo"
"Jer 33:20","11","covenant","H0853","HTo"
"Eze 17:16","14","whose","H0853","HTo"
"Eze 17:16","17","oath","H0853","HTo"
"Eze 17:16","23","covenant","H0853","HTo"
"Zec 11:11","14","word","H0853","HTo"
"Gen 4:2","4","brother","H0853","HTo"
"Gen 4:2","7","Abel","H0853","HTo"
"Gen 30:36","16","flock","H0853","HTo"
"Gen 36:24","14","hot springs","H0853","HTo"
"Gen 36:24","22","donkeys","H0853","HTo"
"Gen 37:2","33","report","H0853","HTo"
"Gen 37:12","7","flock","H0853","HTo"
"Gen 37:16","4","brothers","H0853","HTo"
"Gen 48:15","2","Joseph","H0853","HTo"
"Gen 48:15","22","life long","H0853","HTo"
"Exo 2:17","12","flock","H0853","HTo"
"Exo 2:19","18","flock","H0853","HTo"
"Exo 3:1","5","flock","H0853","HTo"
"Exo 3:1","14","flock","H0853","HTo"
"Num 14:33","11","faithlessness","H0853","HTo"
"1Sa 17:15","11","sheep","H0853","HTo"
"1Sa 17:40","21","pouch","H0853","HTo"
"2Sa 5:2","18","Israel","H0853","HTo"
"2Sa 5:2","26","people","H0853","HTo"
"2Sa 5:2","29","Israel","H0853","HTo"
"1Ki 22:17","3","all","H0853","HTo"
"1Ch 11:2","15","Israel","H0853","HTo"
"1Ch 11:2","25","people","H0853","HTo"
"1Ch 11:2","28","Israel","H0853","HTo"
"2Ch 18:16","3","all","H0853","HTo"
"Psa 28:9","3","people","H0853","HTo"
"Psa 28:9","7","heritage","H0853","HTo"
"Song 1:8","18","young goats","H0853","HTo"
"Isa 30:23","8","ground","H0853","HTo"
"Isa 44:20","10","himself","H0853","HTo"
"Isa 63:11","25","Spirit","H0853","HTo"
"Jer 3:15","9","knowledge","H0853","HTo"
"Jer 6:3","16","place","H0853","HTo"
"Jer 10:21","7","Lord","H0853","HTo"
"Jer 12:10","7","portion","H0853","HTo"
"Jer 12:10","12","portion","H0853","HTo"
"Jer 23:2","13","people","H0853","HTo"
"Jer 23:2","18","flock","H0853","HTo"
"Jer 23:2","26","Behold","H0853","HTo"
"Jer 23:2","33","evil","H0853","HTo"
"Jer 25:36","14","pasture","H0853","HTo"
"Jer 43:12","12","land","H0853","HTo"
"Jer 43:12","20","cloak","H0853","HTo"
"Eze 34:3","3","fat","H0853","HTo"
"Eze 34:3","7","wool","H0853","HTo"
"Eze 34:7","5","word","H0853","HTo"
"Eze 34:8","32","sheep","H0853","HTo"
"Eze 34:8","41","sheep","H0853","HTo"
"Eze 34:8","43","sheep","H0853","HTo"
"Eze 34:10","11","sheep","H0853","HTo"
"Eze 34:10","26","rescue","H0853","HTo"
"Eze 34:12","17","sheep","H0853","HTo"
"Eze 34:12","20","from","H0853","HTo"
"Eze 34:14","7","mountain","H0853","HTo"
"Eze 34:18","26","rest","H0853","HTo"
"Mic 5:6","2","land","H0853","HTo"
"Mic 5:6","7","land","H0853","HTo"
"Zec 11:4","7","flock","H0853","HTo"
"Zec 11:7","2","flock","H0853","HTo"
"Zec 11:7","27","sheep","H0853","HTo"
"Zec 11:8","5","three","H0853","HTo"
"Zec 11:9","5","die","H0853","HTo"
"Zec 11:9","17","flesh","H0853","HTo"
"Zec 13:7","16","shepherd","H0853","HTo"
"Gen 25:22","17","Lord","H0853","HTo"
"Judg 9:53","11","skull","H0853","HTo"
"Judg 10:8","3","people","H0853","HTo"
"Judg 10:8","14","people","H0853","HTo"
"Exo 9:25","9","all","H0853","HTo"
"Exo 9:25","21","every","H0853","HTo"
"Exo 9:25","28","every","H0853","HTo"
"Exo 34:1","18","words","H0853","HTo"
"Exo 34:13","4","altars","H0853","HTo"
"Exo 34:13","9","pillars","H0853","HTo"
"Exo 34:13","16","Asherim","H0853","HTo"
"Lev 11:33","18","break","H0853","HTo"
"Num 9:12","18","it","H0853","HTo"
"Deu 10:2","6","words","H0853","HTo"
"1Sa 4:18","5","ark","H0853","HTo"
"1Sa 4:18","32","Israel","H0853","HTo"
"1Ki 13:28","3","body","H0853","HTo"
"1Ki 13:28","23","body","H0853","HTo"
"1Ki 13:28","29","donkey","H0853","HTo"
"2Ki 11:18","11","altars","H0853","HTo"
"2Ki 11:18","14","images","H0853","HTo"
"2Ki 11:18","21","Mattan","H0853","HTo"
"2Ki 23:14","3","pillars","H0853","HTo"
"2Ki 23:14","7","Asherim","H0853","HTo"
"2Ki 23:14","10","places","H0853","HTo"
"2Ki 25:13","1","pillars","H0853","HTo"
"2Ki 25:13","10","stands","H0853","HTo"
"2Ki 25:13","15","sea","H0853","HTo"
"2Ki 25:13","25","bronze","H0853","HTo"
"2Ch 23:17","10","altars","H0853","HTo"
"2Ch 23:17","14","images","H0853","HTo"
"2Ch 23:17","20","Mattan","H0853","HTo"
"Psa 3:7","10","all","H0853","HTo"
"Psa 29:5","7","cedars","H0853","HTo"
"Psa 34:18","7","crushed","H0853","HTo"
"Isa 27:11","9","For","H0853","HTo"
"Jer 2:13","7","forsaken","H0853","HTo"
"Jer 19:11","13","people","H0853","HTo"
"Jer 19:11","18","city","H0853","HTo"
"Jer 19:11","26","vessel","H0853","HTo"
"Jer 28:2","10","yoke","H0853","HTo"
"Jer 28:4","9","Jeconiah","H0853","HTo"
"Jer 28:4","16","all","H0853","HTo"
"Jer 28:4","28","yoke","H0853","HTo"
"Jer 28:10","6","yoke-bars","H0853","HTo"
"Jer 28:11","15","yoke","H0853","HTo"
"Jer 28:12","7","yoke-bars","H0853","HTo"
"Jer 43:13","2","obelisks","H0853","HTo"
"Jer 43:13","9","temples","H0853","HTo"
"Jer 48:38","14","Moab","H0853","HTo"
"Jer 49:35","8","bow","H0853","HTo"
"Jer 52:17","1","pillars","H0853","HTo"
"Jer 52:17","11","stands","H0853","HTo"
"Jer 52:17","16","sea","H0853","HTo"
"Jer 52:17","26","all","H0853","HTo"
"Eze 5:16","6","arrows","H0853","HTo"
"Eze 5:16","19","destroy","H0853","HTo"
"Eze 27:26","10","wind","H0853","HTo"
"Eze 30:21","4","arm","H0853","HTo"
"Eze 30:22","14","arms","H0853","HTo"
"Eze 30:22","18","strong","H0853","HTo"
"Eze 30:22","21","broken","H0853","HTo"
"Eze 30:22","25","sword","H0853","HTo"
"Eze 30:24","2","arms","H0853","HTo"
"Eze 30:24","7","sword","H0853","HTo"
"Eze 30:24","14","arms","H0853","HTo"
"Hos 1:5","7","bow","H0853","HTo"
"Judg 7:15","5","telling","H0853","HTo"
"Judg 7:15","9","interpretation","H0853","HTo"
"Judg 7:15","24","host","H0853","HTo"
"Jer 6:14","2","wound","H0853","HTo"
"Jer 8:11","2","wound","H0853","HTo"
"Gen 1:29","7","you every","H0853","HTo"
"Gen 1:29","14","all","H0853","HTo"
"Gen 4:1","5","Eve","H0853","HTo"
"Gen 4:1","11","Cain","H0853","HTo"
"Gen 4:15","20","found","H0853","HTo"
"Gen 5:29","2","name","H0853","HTo"
"Gen 6:7","5","man","H0853","HTo"
"Gen 7:1","15","seen","H0853","HTo"
"Gen 8:21","5","aroma","H0853","HTo"
"Gen 8:21","18","ground","H0853","HTo"
"Gen 8:21","39","every","H0853","HTo"
"Gen 12:7","13","land","H0853","HTo"
"Gen 12:19","9","wife","H0853","HTo"
"Gen 14:23","19","Abram","H0853","HTo"
"Gen 15:5","3","outside","H0853","HTo"
