family,cluster,strong,stepGloss
wisdom-folly-teaching,M15,G0801,senseless
wisdom-folly-teaching,M15,G1321,to teach
wisdom-folly-teaching,M15,G3809,discipline
wisdom-folly-teaching,M15,G4678,wisdom
wisdom-folly-teaching,M15,G4679,to make wise
wisdom-folly-teaching,M15,G4680,wise
wisdom-folly-teaching,M15,H2445,wise
wisdom-folly-teaching,M15,H2449,be wise
wisdom-folly-teaching,M15,H2450,wise
wisdom-folly-teaching,M15,H2451,wisdom
wisdom-folly-teaching,M15,H2452,wisdom
wisdom-folly-teaching,M15,H4148G,discipline
wisdom-folly-teaching,M15,H4561,discipline
wisdom-folly-teaching,M15,H5034A,be senseless
wisdom-folly-teaching,M15,H6175,prudent
wisdom-folly-teaching,M15,H6191,be shrewd
wisdom-folly-teaching,M15,H7919A,be prudent
wisdom-folly-teaching,M15,H8454,wisdom
wisdom-folly-teaching,M15,H8637,to teach
wisdom-folly-teaching,M16,G0453,foolish
wisdom-folly-teaching,M16,G0454,folly
wisdom-folly-teaching,M16,G0877,foolishness
wisdom-folly-teaching,M16,G0878,foolish
wisdom-folly-teaching,M16,G3471,be foolish
wisdom-folly-teaching,M16,G3472,foolishness
wisdom-folly-teaching,M16,G3473,foolish talk
wisdom-folly-teaching,M16,G3474,foolish
wisdom-folly-teaching,M16,G4469,fool
wisdom-folly-teaching,M16,H0191,fool[ish]
wisdom-folly-teaching,M16,H0196,foolish
wisdom-folly-teaching,M16,H0200,folly
wisdom-folly-teaching,M16,H1197B,be brutish
wisdom-folly-teaching,M16,H1198,stupid
wisdom-folly-teaching,M16,H1984C,to be foolish
wisdom-folly-teaching,M16,H2973,be foolish
wisdom-folly-teaching,M16,H3684,fool
wisdom-folly-teaching,M16,H3687,stupidity
wisdom-folly-teaching,M16,H3688,be stupid
wisdom-folly-teaching,M16,H5036,foolish
wisdom-folly-teaching,M16,H5039,folly
wisdom-folly-teaching,M16,H5528,be foolish
wisdom-folly-teaching,M16,H5529,folly
wisdom-folly-teaching,M16,H5530,fool
wisdom-folly-teaching,M16,H5531A,folly
wisdom-folly-teaching,M16,H5531B,folly
wisdom-folly-teaching,M16,H6580,folly
wisdom-folly-teaching,M16,H6612A,simple
wisdom-folly-teaching,M16,H8604,folly
wisdom-folly-teaching,M17,G3875,counsellor
wisdom-folly-teaching,M17,G4824,counsel/council
wisdom-folly-teaching,M17,G4825,counselor
wisdom-folly-teaching,M17,H1907,counselor
wisdom-folly-teaching,M17,H3272A,to counsel
wisdom-folly-teaching,M17,H3272B,counsellor
wisdom-folly-teaching,M17,H4156,counsel
wisdom-folly-teaching,M17,H4431,counsel
wisdom-folly-teaching,M17,H5475,counsel
wisdom-folly-teaching,M17,H5843,counsel
wisdom-folly-teaching,M17,H6098,counsel
wisdom-folly-teaching,M17,H8458,counsel
wisdom-folly-teaching,M19,G4995,self-discipline
wisdom-folly-teaching,M22,H3513J,to honor: dull
sloth-diligence-industry,M16,G3636,lazy
sloth-diligence-industry,M34,G4710,diligence
wealth-poverty-riches,M04,H8588,luxury
wealth-poverty-riches,M22,H3520B,riches
wealth-poverty-riches,M23,H2428H,strength: rich
wealth-poverty-riches,M28,G0694,money
wealth-poverty-riches,M28,G5366,money-loving
wealth-poverty-riches,M28,G5536,money
wealth-poverty-riches,M33,H4766,abundance
wealth-poverty-riches,M46,G2141,be prosperous
wealth-poverty-riches,M46,G2142,prosperity
wealth-poverty-riches,M46,G3045,rich
wealth-poverty-riches,M46,G3126,wealth
wealth-poverty-riches,M46,G4145,rich
wealth-poverty-riches,M46,G4146,richly
wealth-poverty-riches,M46,G4147,be rich
wealth-poverty-riches,M46,G4149,riches
wealth-poverty-riches,M46,G5094,wealth
wealth-poverty-riches,M46,H1878,to prosper
wealth-poverty-riches,M46,H1991,wealth
wealth-poverty-riches,M46,H2633,wealth
wealth-poverty-riches,M46,H3502,abundance
wealth-poverty-riches,M46,H3520B,riches
wealth-poverty-riches,M46,H3574,prosperity
wealth-poverty-riches,M46,H5232,wealth
wealth-poverty-riches,M46,H5233,wealth
wealth-poverty-riches,M46,H6223,rich
wealth-poverty-riches,M46,H6239,riches
wealth-poverty-riches,M46,H6743B,to prosper
wealth-poverty-riches,M46,H6744,to prosper
wealth-poverty-riches,M46,H7230,abundance
wealth-poverty-riches,M46,H7951,to prosper
wealth-poverty-riches,M46,H7959,prosperity
wealth-poverty-riches,M46,H8082,rich
memory-remembrance,M11,H7725N,to return: recall
memory-remembrance,M41,G1585,to forget
memory-remembrance,M41,G1950,to forget
memory-remembrance,M41,G1953,forgetfulness
memory-remembrance,M41,G3024,forgetfulness
memory-remembrance,M41,G3403,to remember
memory-remembrance,M41,G3415,to remember
memory-remembrance,M41,G3421,to remember
memory-remembrance,M41,H2142,to remember
memory-remembrance,M41,H5382,to forget
memory-remembrance,M41,H5388,forgetfulness
memory-remembrance,M41,H7876,to forget
memory-remembrance,M41,H7911,to forget
memory-remembrance,M41,H7913,forgetful
speech-mouth-tongue,M05,G2097,to speak good news
speech-mouth-tongue,M05,G4283,to speak good news
speech-mouth-tongue,M14,G5396,to talk nonsense
speech-mouth-tongue,M14,G5542,smooth talk
speech-mouth-tongue,M15,G3056,word
speech-mouth-tongue,M15,H0561,word
speech-mouth-tongue,M15,H0562,word
speech-mouth-tongue,M15,H0565A,word
speech-mouth-tongue,M15,H1697G,word
speech-mouth-tongue,M15,H1697H,word: speaking
speech-mouth-tongue,M15,H1703,word
speech-mouth-tongue,M15,H4406,word
speech-mouth-tongue,M15,H6310I,lip: word
speech-mouth-tongue,M23,G8156,power of speech
speech-mouth-tongue,M28,H1697I,word: thing
speech-mouth-tongue,M29,G4483,to say: will say
speech-mouth-tongue,M42,G1834,to tell
speech-mouth-tongue,M42,H0981,to speak rashly
speech-mouth-tongue,M42,H1696G,to speak: speak
speech-mouth-tongue,M42,H1696I,to speak: promise
speech-mouth-tongue,M42,H5002,utterance
speech-mouth-tongue,M42,H5046,to tell
walk-way-conduct,M18,H5074,to wander
walk-way-conduct,M18,H5110,to wander
walk-way-conduct,M21,G1872,to follow after
walk-way-conduct,M22,H2986,to conduct
walk-way-conduct,M22,H5329,to conduct
walk-way-conduct,M30,H7683,to go astray
walk-way-conduct,M30,H7686,to wander
walk-way-conduct,M30,H8582,to go astray
keeping-guarding-vigilance,M06,G4337,to watch out
keeping-guarding-vigilance,M06,G4648,to watch out
keeping-guarding-vigilance,M06,H7520,to watch with envy
keeping-guarding-vigilance,M28,H7520,to watch with envy
keeping-guarding-vigilance,M30,G1301,to keep
keeping-guarding-vigilance,M30,G5083H,to keep: guard
keeping-guarding-vigilance,M30,G5442G,to keep/guard: observe
keeping-guarding-vigilance,M30,H5201,to keep
keeping-guarding-vigilance,M30,H5202,to keep
keeping-guarding-vigilance,M30,H5341,to watch
keeping-guarding-vigilance,M30,H5770,to watch
keeping-guarding-vigilance,M30,H6822,to watch
keeping-guarding-vigilance,M30,H7673B,to keep
keeping-guarding-vigilance,M30,H8104G,to keep: obey
keeping-guarding-vigilance,M30,H8104H,to keep: guard
keeping-guarding-vigilance,M30,H8104I,to keep: look at
keeping-guarding-vigilance,M30,H8104J,to keep: careful
keeping-guarding-vigilance,M30,H8245,to watch
torah-obedience-word,M09,G3980,to obey
torah-obedience-word,M09,G5218,obedience
torah-obedience-word,M09,G5219,to obey
torah-obedience-word,M09,H3349,obedience
torah-obedience-word,M14,G5577,false testimony
torah-obedience-word,M30,G5255,obedient
righteousness-integrity,M07,G6177,innocence
righteousness-integrity,M07,H2136,innocence
righteousness-integrity,M07,H5356A,innocence
righteousness-integrity,M10,G0094,unjust
righteousness-integrity,M10,H1215,unjust-gain
righteousness-integrity,M10,H5760,unjust one
righteousness-integrity,M10,H5766A,injustice
righteousness-integrity,M10,H5766B,injustice
righteousness-integrity,M10,H5767,unjust
righteousness-integrity,M12,G0053,pure
righteousness-integrity,M12,G0097,pure
righteousness-integrity,M12,G0121,innocent
righteousness-integrity,M12,G0172,innocent
righteousness-integrity,M12,G0185,innocent
righteousness-integrity,M12,G0273,blameless
righteousness-integrity,M12,G0283,pure
righteousness-integrity,M12,G0298,blameless
righteousness-integrity,M12,G0299,blameless
righteousness-integrity,M12,G0338,innocent
righteousness-integrity,M12,G1506,pure
righteousness-integrity,M12,G2511,to clean
righteousness-integrity,M12,G2512,cleansing
righteousness-integrity,M12,G2513,clean
righteousness-integrity,M12,G2514,cleanness
righteousness-integrity,M12,G4101,pure
righteousness-integrity,M12,G7752,be clean
righteousness-integrity,M12,H1249,pure
righteousness-integrity,M12,H1252,cleanness
righteousness-integrity,M12,H2134,pure
righteousness-integrity,M12,H2135,to clean
righteousness-integrity,M12,H2141,be clean
righteousness-integrity,M12,H2643,clean
righteousness-integrity,M12,H2889,pure
righteousness-integrity,M12,H2890,pureness
righteousness-integrity,M12,H2891,be pure
righteousness-integrity,M12,H4935,cleansing
righteousness-integrity,M12,H5343,pure
righteousness-integrity,M12,H5355A,innocent
righteousness-integrity,M12,H5355B,innocent
righteousness-integrity,M12,H6337,pure gold
righteousness-integrity,M12,H8549H,unblemished: blameless
righteousness-integrity,M13,G3716,be upright
righteousness-integrity,M13,H3477G,upright:right
righteousness-integrity,M13,H3477I,upright:straight
righteousness-integrity,M13,H8537,integrity
righteousness-integrity,M13,H8538,integrity
righteousness-integrity,M26,G1341,justice
righteousness-integrity,M26,G1342,just
righteousness-integrity,M26,G1343,righteousness
righteousness-integrity,M26,G1345,righteous act
righteousness-integrity,M26,G1738,just
righteousness-integrity,M26,G2118,righteousness
righteousness-integrity,M26,G3717,upright
righteousness-integrity,M26,G6928,court of justice
righteousness-integrity,M26,H0197H,Hall [of Justice]
righteousness-integrity,M26,H3476,uprightness
righteousness-integrity,M26,H3483,uprightness
righteousness-integrity,M26,H4339,uprightness
righteousness-integrity,M26,H4639H,deed: justice
righteousness-integrity,M26,H4941G,justice: judgement
righteousness-integrity,M26,H4941H,justice
righteousness-integrity,M26,H4941I,justice: rule
righteousness-integrity,M26,H4941J,justice: custom
righteousness-integrity,M26,H5229,upright
righteousness-integrity,M26,H5765,to act unjustly
righteousness-integrity,M26,H6662,righteous
righteousness-integrity,M26,H6664G,righteousness
righteousness-integrity,M26,H6664H,Righteousness [God]
righteousness-integrity,M26,H6665,righteousness
righteousness-integrity,M26,H6666,righteousness
righteousness-integrity,M26,H6968,uprightness
sin-guilt-iniquity,M01,H2933,to defile
sin-guilt-iniquity,M10,G0264,to sin
sin-guilt-iniquity,M10,G0265,sin
sin-guilt-iniquity,M10,G0266,sin
sin-guilt-iniquity,M10,G21497,Sin/Shin
sin-guilt-iniquity,M10,G3845,to transgress
sin-guilt-iniquity,M10,G3847,transgression
sin-guilt-iniquity,M10,G3848,transgressor
sin-guilt-iniquity,M10,G3900,trespass
sin-guilt-iniquity,M10,G4202,sexual sin
sin-guilt-iniquity,M10,G4203,to sin sexually
sin-guilt-iniquity,M10,G4205,sexual sinner
sin-guilt-iniquity,M10,G7292,to lead into sin
sin-guilt-iniquity,M10,G8327,defilement
sin-guilt-iniquity,M10,G8634,a transgression
sin-guilt-iniquity,M10,H0816,be guilty
sin-guilt-iniquity,M10,H0817,guilt [offering]
sin-guilt-iniquity,M10,H0818,guilty
sin-guilt-iniquity,M10,H0819,guiltiness
sin-guilt-iniquity,M10,H2054,guilty
sin-guilt-iniquity,M10,H2398,to sin
sin-guilt-iniquity,M10,H2399,sin
sin-guilt-iniquity,M10,H2400,sinner
sin-guilt-iniquity,M10,H2401,sin
sin-guilt-iniquity,M10,H2403A,sin
sin-guilt-iniquity,M10,H2403B,sin
sin-guilt-iniquity,M10,H2403H,sin: sin offering
sin-guilt-iniquity,M10,H2403I,sin: punishment
sin-guilt-iniquity,M10,H2408,sin
sin-guilt-iniquity,M10,H5375J,to lift: guilt
sin-guilt-iniquity,M10,H5512B,Sin
sin-guilt-iniquity,M10,H5674D,to pass: trespass
sin-guilt-iniquity,M10,H5758,iniquity
sin-guilt-iniquity,M10,H5771G,iniquity: crime
sin-guilt-iniquity,M10,H5771H,iniquity: guilt
sin-guilt-iniquity,M10,H5771I,iniquity: punishment
sin-guilt-iniquity,M10,H5932,iniquity
sin-guilt-iniquity,M10,H6586,to transgress
sin-guilt-iniquity,M10,H6588,transgression
sin-guilt-iniquity,M12,G0168,uncleanness
sin-guilt-iniquity,M12,H2932,uncleanness
shame-confusion,M05,H2616B,to shame
shame-confusion,M05,H2617B,shame
shame-confusion,M06,G0176,beyond reproach
shame-confusion,M06,G3680,reproach
shame-confusion,M06,H2781,reproach
shame-confusion,M07,G0149,shameful
shame-confusion,M07,G0150,shameful
shame-confusion,M07,G0152,shame
shame-confusion,M07,G0153,be ashamed
shame-confusion,M07,G0818,to dishonor
shame-confusion,M07,G0819,dishonour
shame-confusion,M07,G1165,to disgrace
shame-confusion,M07,G1788,to cause shame
shame-confusion,M07,G1791,shame
shame-confusion,M07,G1870,be ashamed of
shame-confusion,M07,G2617,to dishonor
shame-confusion,M07,G3681,disgrace
shame-confusion,M07,G3856,to disgrace
shame-confusion,M07,G6396,to cast shame
shame-confusion,M07,H0954,be ashamed
shame-confusion,M07,H0955,shame
shame-confusion,M07,H1317,shame
shame-confusion,M07,H1322,shame
shame-confusion,M07,H2616B,to shame
shame-confusion,M07,H2617B,shame
shame-confusion,M07,H2659,be ashamed
shame-confusion,M07,H3637,be humiliated
shame-confusion,M07,H3639,shame
shame-confusion,M07,H3640,shame
shame-confusion,M07,H6173,dishonor
shame-confusion,M07,H7022,disgrace
shame-confusion,M07,H7034,to dishonor
shame-confusion,M07,H7036,dishonor
shame-confusion,M07,H8218,humiliation
confession-forgiveness,M10,H3725,atonement
confession-forgiveness,M11,G0859,forgiveness
confession-forgiveness,M11,G0863H,to release: forgive
confession-forgiveness,M11,G1813,to blot out
confession-forgiveness,M11,H3722A,to atone
confession-forgiveness,M11,H5375I,to lift: forgive
confession-forgiveness,M11,H5545,to forgive
confession-forgiveness,M11,H5546,forgiving
confession-forgiveness,M11,H5547,forgiveness
rebellion-stubbornness,M06,G2706,to despise
rebellion-stubbornness,M06,G3643,to despise
rebellion-stubbornness,M06,G4065,to despise
rebellion-stubbornness,M06,G6141,be despised
rebellion-stubbornness,M06,H0936,to despise
rebellion-stubbornness,M06,H0959,to despise
rebellion-stubbornness,M06,H2107,to lavish/despise
rebellion-stubbornness,M06,H2186A,to reject
rebellion-stubbornness,M06,H3988A,to reject
rebellion-stubbornness,M06,H5006,to spurn
rebellion-stubbornness,M06,H7590,to despise
rebellion-stubbornness,M07,G0114,to reject
rebellion-stubbornness,M07,G0593,to reject
rebellion-stubbornness,M07,G0683,to reject
rebellion-stubbornness,M07,G1848,to reject
rebellion-stubbornness,M07,H5541A,to reject
rebellion-stubbornness,M20,H5800A,to leave: forsake
rebellion-stubbornness,M27,G3868,to refuse/excuse
rebellion-stubbornness,M27,H0830H,refuse
rebellion-stubbornness,M27,H3985,to refuse
rebellion-stubbornness,M27,H4651,refuse
rebellion-stubbornness,M27,H6569,refuse
rebellion-stubbornness,M27,H6574,refuse
rebellion-stubbornness,M27,H7419,refuse
rebellion-stubbornness,M30,G1881,to rebel against
rebellion-stubbornness,M30,G3027,robber/rebel
rebellion-stubbornness,M30,G3893,to rebel
rebellion-stubbornness,M30,G3894,rebellion
rebellion-stubbornness,M30,G6149,rebellion
rebellion-stubbornness,M30,H4775,to rebel
rebellion-stubbornness,M30,H4776,rebellion
rebellion-stubbornness,M30,H4777,rebellion
rebellion-stubbornness,M30,H4779,rebellious
rebellion-stubbornness,M30,H4780,rebellious
rebellion-stubbornness,M30,H4784,to rebel
rebellion-stubbornness,M30,H4805H,rebellion
rebellion-stubbornness,M30,H5620,stubborn
rebellion-stubbornness,M30,H5637,to rebel
rebellion-stubbornness,M30,H7190,stubbornness
rebellion-stubbornness,M30,H7846,rebellion
rebellion-stubbornness,M30,H8307,stubbornness
wickedness-ungodliness,M03,H7451I,distress: evil
wickedness-ungodliness,M10,G0764,be ungodly
wickedness-ungodliness,M10,H2149,vileness
wickedness-ungodliness,M26,H7561,be wicked
wickedness-ungodliness,M27,G2556H,evil/harm: harm
wickedness-ungodliness,M27,H7451I,distress: evil
malice-enmity-persecution,M06,G0436,to oppose
malice-enmity-persecution,M06,G0475,to oppose
malice-enmity-persecution,M06,G0476,opponent
malice-enmity-persecution,M06,G0480,be an opponent
malice-enmity-persecution,M06,G0655,to abhor
malice-enmity-persecution,M06,G0786,irreconcilable
malice-enmity-persecution,M06,G0948,to abhor
malice-enmity-persecution,M06,G1758,to oppose
malice-enmity-persecution,M06,G1908,to mistreat
malice-enmity-persecution,M06,G2189,hostility
malice-enmity-persecution,M06,G2653,to curse
malice-enmity-persecution,M06,G2672,to curse
malice-enmity-persecution,M06,G3404,to hate
malice-enmity-persecution,M06,G3605,to stink
malice-enmity-persecution,M06,G4767,hated
malice-enmity-persecution,M06,G5195,to mistreat
malice-enmity-persecution,M06,G6522,to curse
malice-enmity-persecution,M06,G7223,to be adversary
malice-enmity-persecution,M06,G7351,contempt
malice-enmity-persecution,M06,G7352,contempt
malice-enmity-persecution,M06,G7590,hatred
malice-enmity-persecution,M06,G8332,hatred
malice-enmity-persecution,M06,H0340,be hostile
malice-enmity-persecution,M06,H0779,to curse
malice-enmity-persecution,M06,H0887,to stink
malice-enmity-persecution,M06,H0937,contempt
malice-enmity-persecution,M06,H0939,contempt
malice-enmity-persecution,M06,H0963,contempt
malice-enmity-persecution,M06,H0973A,to loath
malice-enmity-persecution,M06,H1602,to abhor
malice-enmity-persecution,M06,H1604,loathing
malice-enmity-persecution,M06,H1860,abhorrence
malice-enmity-persecution,M06,H2092,to loathe
malice-enmity-persecution,M06,H2186B,to stink
malice-enmity-persecution,M06,H3401,opponent
malice-enmity-persecution,M06,H3944,scorning
malice-enmity-persecution,M06,H4895,hatred
malice-enmity-persecution,M06,H5007A,contempt
malice-enmity-persecution,M06,H5007B,contempt
malice-enmity-persecution,M06,H5010,to disown
malice-enmity-persecution,M06,H5344B,to curse
malice-enmity-persecution,M06,H6895,to curse
malice-enmity-persecution,M06,H6962,to loath
malice-enmity-persecution,M06,H6973,to loathe
malice-enmity-persecution,M06,H7009,adversary
malice-enmity-persecution,M06,H7048,derision
malice-enmity-persecution,M06,H7147,hostility
malice-enmity-persecution,M06,H7589,scorn
malice-enmity-persecution,M06,H7852,to hate
malice-enmity-persecution,M06,H7853,to oppose
malice-enmity-persecution,M06,H8103,derision
malice-enmity-persecution,M06,H8130,to hate
malice-enmity-persecution,M06,H8131,to hate
malice-enmity-persecution,M06,H8146,hated
malice-enmity-persecution,M06,H8263,detestation
malice-enmity-persecution,M06,H8374,to loathe
malice-enmity-persecution,M06,H8581,to abhor
malice-enmity-persecution,M07,G0685,curse
malice-enmity-persecution,M07,G2551,to curse/revile
malice-enmity-persecution,M07,G2652,curse
malice-enmity-persecution,M07,G2671,curse
malice-enmity-persecution,M07,G7906,a curse
malice-enmity-persecution,M07,H3994,curse
malice-enmity-persecution,M07,H7045,curse
malice-enmity-persecution,M07,H8381,curse
malice-enmity-persecution,M08,H3933,derision
malice-enmity-persecution,M08,H7047,derision
malice-enmity-persecution,M14,G1917,plot
malice-enmity-persecution,M14,G4945,plot
malice-enmity-persecution,M14,H2050,to plot
malice-enmity-persecution,M14,H2665,plot
malice-enmity-persecution,M14,H2790A,to plow/plot
malice-enmity-persecution,M14,H4209,plot
malice-enmity-persecution,M14,H4284,plot
malice-enmity-persecution,M14,H5230,to plot
malice-enmity-persecution,M23,G4912,to hold/oppress
malice-enmity-persecution,M24,G2616,to oppress
malice-enmity-persecution,M24,G2669,to oppress
malice-enmity-persecution,M24,H2556C,to oppress
malice-enmity-persecution,M24,H3238,to oppress
malice-enmity-persecution,M24,H3905,to oppress
malice-enmity-persecution,M24,H4835,oppression
malice-enmity-persecution,M24,H5065,to oppress
malice-enmity-persecution,M24,H8496,oppression
malice-enmity-persecution,M28,G7353,a contemptible thing
malice-enmity-persecution,M44,G2190,enemy
malice-enmity-persecution,M44,G7589,be an enemy
malice-enmity-persecution,M44,H0341,enemy
malice-enmity-persecution,M44,H6145,enemy
malice-enmity-persecution,M44,H6862C,enemy
malice-enmity-persecution,M44,H7790,enemy
malice-enmity-persecution,M44,H8324,enemy
pride-arrogance-scoffing,M06,H1422,taunt
pride-arrogance-scoffing,M06,H2049,mockery
pride-arrogance-scoffing,M06,H2778A,to taunt
pride-arrogance-scoffing,M06,H3934,mocking
pride-arrogance-scoffing,M06,H4426,mockery
pride-arrogance-scoffing,M06,H4485,mocking
pride-arrogance-scoffing,M06,H5607A,mockery
pride-arrogance-scoffing,M06,H8148,taunt
pride-arrogance-scoffing,M08,G0212,boasting
pride-arrogance-scoffing,M08,G0757,be first
pride-arrogance-scoffing,M08,G0829,self-willed
pride-arrogance-scoffing,M08,G1702,to mock
pride-arrogance-scoffing,M08,G2606,to mock
pride-arrogance-scoffing,M08,G2620,to boast
pride-arrogance-scoffing,M08,G2744,to boast
pride-arrogance-scoffing,M08,G2745,pride
pride-arrogance-scoffing,M08,G2746,pride
pride-arrogance-scoffing,M08,G2755,conceited
pride-arrogance-scoffing,M08,G3166,to boast
pride-arrogance-scoffing,M08,G3168,majesty
pride-arrogance-scoffing,M08,G3172,majesty
pride-arrogance-scoffing,M08,G3456,to mock
pride-arrogance-scoffing,M08,G4068,to boast
pride-arrogance-scoffing,M08,G4409,be first
pride-arrogance-scoffing,M08,G5187,be conceited
pride-arrogance-scoffing,M08,G5229,be haughty
pride-arrogance-scoffing,M08,G5243,pride
pride-arrogance-scoffing,M08,G5244,arrogant
pride-arrogance-scoffing,M08,G5246,boastful
pride-arrogance-scoffing,M08,G5252,be haughty
pride-arrogance-scoffing,M08,G5309,be arrogant
pride-arrogance-scoffing,M08,G5311,height
pride-arrogance-scoffing,M08,G5313,height
pride-arrogance-scoffing,M08,G5367,selfish
pride-arrogance-scoffing,M08,G5448,to inflate
pride-arrogance-scoffing,M08,G5450,arrogance
pride-arrogance-scoffing,M08,G6094,to boast
pride-arrogance-scoffing,M08,G7013,to boast of
pride-arrogance-scoffing,M08,G7973,be arrogant
pride-arrogance-scoffing,M08,H1341,proud
pride-arrogance-scoffing,M08,H1342,to rise up
pride-arrogance-scoffing,M08,H1343,proud
pride-arrogance-scoffing,M08,H1344,pride
pride-arrogance-scoffing,M08,H1346,pride
pride-arrogance-scoffing,M08,H1347,pride
pride-arrogance-scoffing,M08,H1348,majesty
pride-arrogance-scoffing,M08,H1363,height
pride-arrogance-scoffing,M08,H1365,haughtiness
pride-arrogance-scoffing,M08,H1466,pride
pride-arrogance-scoffing,M08,H1467,pride
pride-arrogance-scoffing,M08,H1984H,to boast: boast
pride-arrogance-scoffing,M08,H1984I,to boast: rave madly
pride-arrogance-scoffing,M08,H2048A,to mock
pride-arrogance-scoffing,M08,H2086,arrogant
pride-arrogance-scoffing,M08,H2087,arrogance
pride-arrogance-scoffing,M08,H2103,be proud
pride-arrogance-scoffing,M08,H3093,proud
pride-arrogance-scoffing,M08,H3887,to mock
pride-arrogance-scoffing,M08,H3932,to mock
pride-arrogance-scoffing,M08,H4167,to mock
pride-arrogance-scoffing,M08,H4791,height
pride-arrogance-scoffing,M08,H5674H,be arrogant
pride-arrogance-scoffing,M08,H5719,voluptuous
pride-arrogance-scoffing,M08,H5920H,height
pride-arrogance-scoffing,M08,H5953C,to mock
pride-arrogance-scoffing,M08,H6277,arrogant
pride-arrogance-scoffing,M08,H6967,height
pride-arrogance-scoffing,M08,H7046,to mock
pride-arrogance-scoffing,M08,H7295,proud
pride-arrogance-scoffing,M08,H7296,pride
pride-arrogance-scoffing,M08,H7312,height
pride-arrogance-scoffing,M08,H7314,height
pride-arrogance-scoffing,M08,H7830,pride
pride-arrogance-scoffing,M08,H7986,imperious
pride-arrogance-scoffing,M08,H8591,to mock
pride-arrogance-scoffing,M16,H1984I,to boast: rave madly
deceit-falsehood,M10,G4942,to join hypocrisy
deceit-falsehood,M10,G6882,perverseness
deceit-falsehood,M10,H0898,to act treacherously
deceit-falsehood,M10,H2017,perversity
deceit-falsehood,M10,H3891,perversity
deceit-falsehood,M10,H8419,perversity
deceit-falsehood,M14,G0539,deceit
deceit-falsehood,M14,G0613,to conceal
deceit-falsehood,M14,G0802,untrustworthy
deceit-falsehood,M14,G1228H,slanderous
deceit-falsehood,M14,G1386,deceitful
deceit-falsehood,M14,G1387,to deceive
deceit-falsehood,M14,G1388,deceit
deceit-falsehood,M14,G1389,to distort
deceit-falsehood,M14,G1426,slander
deceit-falsehood,M14,G1818,to deceive
deceit-falsehood,M14,G2636,slander
deceit-falsehood,M14,G2637,slanderous
deceit-falsehood,M14,G2686,be cunning
deceit-falsehood,M14,G2850,flattery
deceit-falsehood,M14,G2940,cunning
deceit-falsehood,M14,G3884,to deceive
deceit-falsehood,M14,G4108,deceiving
deceit-falsehood,M14,G4273,traitor
deceit-falsehood,M14,G4646,crooked
deceit-falsehood,M14,G4761,to distort
deceit-falsehood,M14,G4780,to conceal
deceit-falsehood,M14,G5271,to pretend
deceit-falsehood,M14,G5272,hypocrisy
deceit-falsehood,M14,G5273,hypocrite
deceit-falsehood,M14,G5422,to deceive
deceit-falsehood,M14,G5569,false brother
deceit-falsehood,M14,G5573,lying
deceit-falsehood,M14,G5574,to lie
deceit-falsehood,M14,G5578,false prophet
deceit-falsehood,M14,G5579,lie
deceit-falsehood,M14,G5580,false Christ
deceit-falsehood,M14,G5582,falsehood
deceit-falsehood,M14,G6957,deceit
deceit-falsehood,M14,H0391,deceptive
deceit-falsehood,M14,H0899A,treachery
deceit-falsehood,M14,H0900,treachery
deceit-falsehood,M14,H0901,treacherous
deceit-falsehood,M14,H1681,slander
deceit-falsehood,M14,H1848,slander
deceit-falsehood,M14,H1892,vanity
deceit-falsehood,M14,H2019,crooked
deceit-falsehood,M14,H2048B,to deceive
deceit-falsehood,M14,H2514,flattery
deceit-falsehood,M14,H3576,to lie
deceit-falsehood,M14,H3577,lie
deceit-falsehood,M14,H3584,to deceive
deceit-falsehood,M14,H3585,lie
deceit-falsehood,M14,H3586,deceptive
deceit-falsehood,M14,H3655,to flatter
deceit-falsehood,M14,H3868,be devious
deceit-falsehood,M14,H4020,twisted
deceit-falsehood,M14,H4123,deception
deceit-falsehood,M14,H4820,deceit
deceit-falsehood,M14,H4860,guile
deceit-falsehood,M14,H5377,to deceive
deceit-falsehood,M14,H5558,crookedness
deceit-falsehood,M14,H5956,to conceal
deceit-falsehood,M14,H6121A,insidious
deceit-falsehood,M14,H6122,cunning
deceit-falsehood,M14,H6128,crooked
deceit-falsehood,M14,H6129,crooked
deceit-falsehood,M14,H6141,twisted
deceit-falsehood,M14,H6143,crookedness
deceit-falsehood,M14,H6618,twisted
deceit-falsehood,M14,H7400,slander
deceit-falsehood,M14,H7411B,to deceive
deceit-falsehood,M14,H7423A,deceit
deceit-falsehood,M14,H7723G,vanity: false
deceit-falsehood,M14,H8267,deception
deceit-falsehood,M14,H8649A,treachery
deceit-falsehood,M14,H8649B,deceitfulness
deceit-falsehood,M42,G2635,to slander
deceit-falsehood,M42,H3960,to slander
anger-wrath-vexation,M01,H5590,to rage
anger-wrath-vexation,M02,G0023,be indignant
anger-wrath-vexation,M02,G1278,be vexed
anger-wrath-vexation,M02,G1282,be furious
anger-wrath-vexation,M02,G1370,dissension
anger-wrath-vexation,M02,G2042,to provoke/irritate
anger-wrath-vexation,M02,G2054,quarrel
anger-wrath-vexation,M02,G2200,hot
anger-wrath-vexation,M02,G2371,to quarrel
anger-wrath-vexation,M02,G2372,wrath
anger-wrath-vexation,M02,G2373,to anger
anger-wrath-vexation,M02,G3055,quarrel
anger-wrath-vexation,M02,G3163,quarrel
