"strong","word","occurrence_count","ib_relevance"
"H2674K","hazor","3","Not relevant"
"H2676","midnight","3","Could impact IB"
"H2677","midst","3","Could impact IB"
"H2710","scepter","3","Could impact IB"
"H2717A","dried","3","Could impact IB"
"H2717A","dry up","3","Could impact IB"
"H2721A","dry","3","Could impact IB"
"H2724","dry land","3","Could impact IB"
"H2752","horites","3","Could impact IB"
"H2772","horonite","3","Could impact IB"
"H2787","burn","3","Could impact IB"
"H2800","harosheth-hagoyim","3","Could impact IB"
"H2830","metal","3","Could impact IB"
"H2843","hushathite","3","Could impact IB"
"H2860","sons-in-law","3","Not relevant"
"H2864","dig","3","Could impact IB"
"H2885","signet rings","3","Could impact IB"
"H2903","frontlets","3","Could impact IB"
"H2916","mud","3","Could impact IB"
"H2963","pieces","3","Could impact IB"
"H2975G","river","3","Not relevant"
"H2986","led","3","Could impact IB"
"H2991","ibleam","3","Could impact IB"
"H2994","brother’s wife","3","Not relevant"
"H3003H","jabesh","3","Not relevant"
"H3004","dry","3","Could impact IB"
"H3064","jewish","3","Could impact IB"
"H3069","lord","3","Not relevant"
"H3082G","jehonadab","3","Not relevant"
"H3083N","jonathan","3","Not relevant"
"H3083O","jonathan","3","Not relevant"
"H3122H","jonadab","3","Not relevant"
"H3129G","jonathan","3","Not relevant"
"H3148","advantage","3","Could impact IB"
"H3157L","jezreel","3","Not relevant"
"H3162B","with","3","Not relevant"
"H3182","barefoot","3","Could impact IB"
"H3187","enrolled by genealogy","3","Could impact IB"
"H3205","brought forth","3","Could impact IB"
"H3205","fathers","3","Not relevant"
"H3206","boy","3","Could impact IB"
"H3218","locust","3","Not relevant"
"H3243J","infant","3","Could impact IB"
"H3243J","nursing child","3","Could impact IB"
"H3245","established","3","Could impact IB"
"H3245","foundations","3","Could impact IB"
"H3247H","foundation","3","Could impact IB"
"H3256","disciplines","3","Could impact IB"
"H3256","warned","3","Could impact IB"
"H3258H","jabez","3","Could impact IB"
"H3259","appointed","3","Not relevant"
"H3259","assembled","3","Could impact IB"
"H3259","summon","3","Could impact IB"
"H3273I","jeiel","3","Could impact IB"
"H3305","joppa","3","Not relevant"
"H3326A","bed","3","Could impact IB"
"H3341","kindled","3","Could impact IB"
"H3342","vats","3","Could impact IB"
"H3342","wine vat","3","Could impact IB"
"H3342","winepresses","3","Could impact IB"
"H3344","kept burning","3","Could impact IB"
"H3351","living thing","3","Could impact IB"
"H3369","snared","3","Could impact IB"
"H3381","brought him down","3","Not relevant"
"H3381","came","3","Not relevant"
"H3381","fall","3","Not relevant"
"H3407","tent","3","Not relevant"
"H3409","base","3","Could impact IB"
"H3412G","jarmuth","3","Could impact IB"
"H3414G","jeremiah","3","Not relevant"
"H3418","green","3","Could impact IB"
"H3423H","driven out","3","Could impact IB"
"H3423H","occupy","3","Could impact IB"
"H3423H","possessed","3","Could impact IB"
"H3423I","poverty","3","Could impact IB"
"H3471","jasper","3","Could impact IB"
"H3489","pin","3","Could impact IB"
"H3493","excellent","3","Could impact IB"
"H3498","left over","3","Not relevant"
"H3499B","bowstrings","3","Could impact IB"
"H3518","go out","3","Not relevant"
"H3526G","washer’s","3","Could impact IB"
"H3536","kiln","3","Could impact IB"
"H3541","here","3","Not relevant"
"H3541","if","3","Not relevant"
"H3541","showed","3","Could impact IB"
"H3541","way","3","Not relevant"
"H3553","helmet","3","Could impact IB"
"H3562G","conaniah","3","Could impact IB"
"H3568A","ethiopia","3","Could impact IB"
"H3569G","cushites","3","Could impact IB"
"H3599","bag","3","Could impact IB"
"H3606","and every","3","Could impact IB"
"H3617","complete","3","Could impact IB"
"H3617","end","3","Not relevant"
"H3618H","daughters-in-law","3","Not relevant"
"H3627","of","3","Not relevant"
"H3627","silver","3","Not relevant"
"H3630","chilion","3","Not relevant"
"H3632","all","3","Not relevant"
"H3632","perfect","3","Could impact IB"
"H3643","chimham","3","Could impact IB"
"H3646","cumin","3","Could impact IB"
"H3659","coniah","3","Could impact IB"
"H3663","chenaniah","3","Could impact IB"
"H3667A","canaanite","3","Not relevant"
"H3671","other","3","Not relevant"
"H3671","skirts","3","Could impact IB"
"H3671","sort","3","Could impact IB"
"H3672G","chinnereth","3","Not relevant"
"H3701G","shekels of silver","3","Not relevant"
"H3705","therefore","3","Not relevant"
"H3709G","handful","3","Not relevant"
"H3709I","socket","3","Could impact IB"
"H3713B","frost","3","Could impact IB"
"H3717","doubled","3","Could impact IB"
"H3721","bowed down","3","Could impact IB"
"H3731","caphtor","3","Could impact IB"
"H3732","caphtorim","3","Could impact IB"
"H3733C","battering rams","3","Could impact IB"
"H3755","vinedressers","3","Could impact IB"
"H3758","crimson","3","Could impact IB"
"H3774G","cherethites","3","Could impact IB"
"H3775","lamb","3","Not relevant"
"H3778","chaldean","3","Could impact IB"
"H3789","signed","3","Not relevant"
"H3789","writing","3","Could impact IB"
"H3792","document","3","Could impact IB"
"H3804","crown","3","Not relevant"
"H3809","cannot","3","Could impact IB"
"H3809","without","3","Not relevant"
"H3812","leah’s","3","Not relevant"
"H3816","people","3","Not relevant"
"H3830","clothed","3","Could impact IB"
"H3834","cakes","3","Could impact IB"
"H3837A","laban’s","3","Not relevant"
"H3842","moon","3","Could impact IB"
"H3843","brick","3","Could impact IB"
"H3847","arrayed","3","Could impact IB"
"H3852","flaming","3","Could impact IB"
"H3865","lud","3","Could impact IB"
"H3871","boards","3","Could impact IB"
"H3878","levites","3","Not relevant"
"H3884","if","3","Not relevant"
"H3896","lehi","3","Not relevant"
"H3897","lick","3","Could impact IB"
"H3899H","loaves of bread","3","Could impact IB"
"H3909","secret arts","3","Could impact IB"
"H3928","taught","3","Could impact IB"
"H3929G","lamech","3","Not relevant"
"H3974","lights","3","Not relevant"
"H3979","knife","3","Could impact IB"
"H4021","caps","3","Could impact IB"
"H4026M","watchtower","3","Could impact IB"
"H4033","sojourning","3","Could impact IB"
"H4050","saws","3","Not relevant"
"H4055","armor","3","Not relevant"
"H4070A","dwelling","3","Not relevant"
"H4082","script","3","Could impact IB"
"H4083","provinces","3","Could impact IB"
"H4084","midianite","3","Could impact IB"
"H4103","confusion","3","Could impact IB"
"H4103","panic","3","IB related"
"H4114","overthrew","3","Could impact IB"
"H4119","bride-price","3","Could impact IB"
"H4125","moabites","3","Could impact IB"
"H4133","yoke","3","Could impact IB"
"H4133","yoke-bars","3","Could impact IB"
"H4135A","circumcise","3","Could impact IB"
"H4135A","cut them off","3","Not relevant"
"H4138","birth","3","Could impact IB"
"H4138","native","3","Could impact IB"
"H4150I","assembly","3","Could impact IB"
"H4161","exits","3","Could impact IB"
"H4175","teacher","3","Could impact IB"
"H4184","feel","3","Could impact IB"
"H4186","lived","3","Not relevant"
"H4201","doorpost","3","Could impact IB"
"H4205","wound","3","Could impact IB"
"H4217H","sunrise","3","Could impact IB"
"H4229A","blotted","3","Could impact IB"
"H4234","dance","3","Could impact IB"
"H4234","dancing","3","Could impact IB"
"H4246","dancing","3","Could impact IB"
"H4253","locks","3","Could impact IB"
"H4264","company","3","Could impact IB"
"H4264","forces","3","Could impact IB"
"H4270","lack","3","Could impact IB"
"H4270","poverty","3","Could impact IB"
"H4274","quarried","3","Could impact IB"
"H4279","come","3","Not relevant"
"H4289","trays","3","Could impact IB"
"H4291","reached","3","Could impact IB"
"H4294G","rod","3","Could impact IB"
"H4295","below","3","Not relevant"
"H4295","beneath","3","Could impact IB"
"H4295","downward","3","Could impact IB"
"H4295","lower","3","Not relevant"
"H4305","rained","3","Could impact IB"
"H4317Q","michael","3","Not relevant"
"H4318G","micah’s","3","Not relevant"
"H4325G","it","3","Not relevant"
"H4325G","tears","3","Could impact IB"
"H4330","pressing","3","Could impact IB"
"H4345","grating","3","Could impact IB"
"H4350","stand","3","Not relevant"
"H4351","origin","3","Could impact IB"
"H4353H","machir","3","Not relevant"
"H4393","fullness","3","Not relevant"
"H4393","it","3","Not relevant"
"H4399","anything","3","Not relevant"
"H4399","business","3","Could impact IB"
"H4399","task","3","Could impact IB"
"H4399","use","3","Could impact IB"
"H4399","working","3","Not relevant"
"H4405","say","3","Not relevant"
"H4406","thing","3","Not relevant"
"H4406","word","3","Not relevant"
"H4414B","salt","3","Could impact IB"
"H4417H","salt","3","Could impact IB"
"H4422","rescued","3","Could impact IB"
"H4428K","milcom","3","Could impact IB"
"H4437","kingdoms","3","Could impact IB"
"H4437","royal","3","Could impact IB"
"H4441S","malchiah","3","Could impact IB"
"H4444","malchi-shua","3","Could impact IB"
"H4445B","milcom","3","Could impact IB"
"H4462","memucan","3","Could impact IB"
"H4479","to whom","3","Not relevant"
"H4481","because","3","Not relevant"
"H4481","one","3","Not relevant"
"H4481","out","3","Not relevant"
"H4481","to","3","Not relevant"
"H4481","you","3","Not relevant"
"H4483","appointed","3","Not relevant"
"H4487","assigned","3","Could impact IB"
"H4487","count","3","Not relevant"
"H4487","counted","3","Not relevant"
"H4500","beam","3","Could impact IB"
"H4513","restrained","3","Could impact IB"
"H4518","bowls","3","Could impact IB"
"H4521","portions","3","Not relevant"
"H4525","metal workers","3","Could impact IB"
"H4533","veil","3","Not relevant"
"H4545","web","3","Could impact IB"
"H4548","nails","3","Could impact IB"
"H4556","eruption","3","Could impact IB"
"H4557","numbers","3","Not relevant"
"H4565","ambush","3","Could impact IB"
"H4570","encampment","3","Could impact IB"
"H4583","dwelling place","3","Not relevant"
"H4585","dens","3","Could impact IB"
"H4592","almost","3","Could impact IB"
"H4599","fountains","3","Could impact IB"
"H4601R","maacah","3","Not relevant"
"H4605","higher","3","Not relevant"
"H4615","depths","3","Could impact IB"
"H4631","caves","3","Could impact IB"
"H4634","battle","3","Could impact IB"
"H4641X","maaseiah","3","Not relevant"
"H4679","stronghold","3","Could impact IB"
"H4693","egypt","3","Not relevant"
"H4713","egyptian’s","3","Could impact IB"
"H4735","possessions","3","Could impact IB"
"H4740H","buttress","3","Could impact IB"
"H4744","convocations","3","Could impact IB"
"H4745","event","3","Could impact IB"
"H4745","happens","3","Could impact IB"
"H4756","lord","3","Not relevant"
"H4758","like","3","Could impact IB"
"H4758","ugly","3","Could impact IB"
"H4764","merab","3","Not relevant"
"H4801","distant","3","Could impact IB"
"H4806","fattened cattle","3","Could impact IB"
"H4809G","meribah","3","Not relevant"
"H4809H","meribah-kadesh","3","Could impact IB"
"H4822G","meremoth","3","Could impact IB"
"H4828","companion","3","Could impact IB"
"H4839","broth","3","Could impact IB"
"H4871","drew","3","Could impact IB"
"H4904","bedroom","3","Could impact IB"
"H4904","couch","3","Could impact IB"
"H4909","wages","3","Could impact IB"
"H4918R","meshullam","3","Not relevant"
"H4928","bodyguard","3","Could impact IB"
"H4932G","second quarter","3","Could impact IB"
"H4933","spoil","3","Could impact IB"
"H4940","tribes","3","Not relevant"
"H4947","lintel","3","Could impact IB"
"H4959","felt","3","Could impact IB"
"H4959","grope","3","Could impact IB"
"H4960","drink","3","Not relevant"
"H4960","drinking","3","Not relevant"
"H4964","bit","3","Could impact IB"
"H4973","fangs","3","Could impact IB"
"H4978","gifts","3","Could impact IB"
"H4983G","mattaniah","3","Not relevant"
"H4991","gift","3","Could impact IB"
"H5032","nebaioth","3","Not relevant"
"H5035A","skin","3","Not relevant"
"H5037","nabal’s","3","Not relevant"
"H5042","pour out","3","Not relevant"
"H5045G","south","3","Could impact IB"
"H5051","shining","3","Could impact IB"
"H5055","gores","3","Could impact IB"
"H5060","came","3","Not relevant"
"H5060","near","3","Not relevant"
"H5060","reach","3","Could impact IB"
"H5060","stricken","3","Could impact IB"
"H5060","struck","3","Could impact IB"
"H5062","struck","3","Could impact IB"
"H5080","banished","3","Could impact IB"
"H5080","drawn away","3","Could impact IB"
"H5080","drive","3","Could impact IB"
"H5080","outcast","3","Could impact IB"
"H5086","driven","3","Could impact IB"
"H5090A","lead","3","Could impact IB"
"H5090A","led out","3","Could impact IB"
"H5095","guide","3","Could impact IB"
"H5102A","flow","3","Could impact IB"
"H5104H","streams","3","Could impact IB"
"H5127","fled away","3","Could impact IB"
"H5127","flee away","3","Could impact IB"
"H5127","fleeing","3","Could impact IB"
"H5128","hold sway","3","Could impact IB"
"H5128","shake","3","Could impact IB"
"H5128","wag","3","Could impact IB"
"H5130B","wield","3","Could impact IB"
"H5133","plumage","3","Could impact IB"
"H5145G","consecrated","3","Could impact IB"
"H5148","led","3","Could impact IB"
"H5158A","brooks","3","Could impact IB"
"H5158A","rivers","3","Not relevant"
"H5158A","torrents","3","Could impact IB"
"H5161","nehelam","3","Could impact IB"
"H5172","divination","3","Could impact IB"
"H5175","serpent’s","3","Not relevant"
"H5176H","nahash","3","Not relevant"
"H5189","branches","3","Not relevant"
"H5197","dropped","3","Could impact IB"
"H5215","fallow ground","3","Could impact IB"
"H5221","attacks","3","Could impact IB"
"H5221","clap","3","Could impact IB"
"H5221","kill","3","Not relevant"
"H5221","pin","3","Could impact IB"
"H5221","put","3","Not relevant"
"H5224G","neco","3","Could impact IB"
"H5227","facing","3","Could impact IB"
"H5246","leopard","3","Could impact IB"
"H5251H","banner","3","Could impact IB"
"H5253","move","3","Could impact IB"
"H5257B","princes","3","Not relevant"
"H5262","images","3","Could impact IB"
"H5265","departed","3","Could impact IB"
"H5265","plucked up","3","Could impact IB"
"H5279A","naamah","3","Could impact IB"
"H5290","youth","3","Could impact IB"
"H5303","nephilim","3","Could impact IB"
"H5308","fell","3","Not relevant"
"H5322B","hawk","3","Not relevant"
"H5324","set","3","Not relevant"
"H5327B","ruins","3","Could impact IB"
"H5331","always","3","Could impact IB"
"H5333","garrison","3","Could impact IB"
"H5371H","nergal-sar-ezer","3","Not relevant"
"H5391A","bit","3","Could impact IB"
"H5391A","bite","3","Could impact IB"
"H5391B","interest","3","Could impact IB"
"H5399","dawn","3","Could impact IB"
"H5407","letter","3","Could impact IB"
"H5408","cut","3","Not relevant"
"H5408","pieces","3","Could impact IB"
"H5410B","path","3","Could impact IB"
"H5413","melted","3","Could impact IB"
"H5415G","gives","3","Not relevant"
"H5417G","nethanel","3","Not relevant"
"H5428","plucked up","3","Could impact IB"
"H5429","seah","3","Not relevant"
"H5429","seahs","3","Not relevant"
"H5429","two seahs","3","Not relevant"
"H5444","sibbecai","3","Could impact IB"
"H5445","bear","3","Not relevant"
"H5445","carry","3","Not relevant"
"H5448","burden","3","Could impact IB"
"H5466","linen garments","3","Not relevant"
"H5481","bagpipe","3","Could impact IB"
"H5486","sweep","3","Could impact IB"
"H5518A","cauldron","3","Could impact IB"
"H5549","build up","3","Not relevant"
"H5550","mound","3","Could impact IB"
"H5550","siege mound","3","Could impact IB"
"H5554","sela","3","Not relevant"
"H5559","came up","3","Not relevant"
"H5560","fine","3","Could impact IB"
"H5560","flour","3","Could impact IB"
"H5591B","storm","3","Could impact IB"
"H5591B","tempest","3","Could impact IB"
"H5599B","itself","3","Could impact IB"
"H5609","book","3","Could impact IB"
"H5612A","certificate","3","Could impact IB"
"H5631","officers","3","Could impact IB"
"H5648","do","3","Not relevant"
"H5667","pledge","3","Could impact IB"
"H5672","thickness","3","Could impact IB"
"H5673","work","3","Not relevant"
"H5676G","sides","3","Not relevant"
"H5676H","straight","3","Could impact IB"
"H5688","clouds","3","Could impact IB"
"H5692","cakes","3","Could impact IB"
"H5705","for","3","Not relevant"
"H5710B","adorned","3","Could impact IB"
"H5711G","adah","3","Not relevant"
"H5711H","adah","3","Not relevant"
"H5726","adullamite","3","Could impact IB"
"H5732","times","3","Not relevant"
"H5736","over","3","Not relevant"
"H5736","remains","3","Could impact IB"
"H5739","herds","3","Could impact IB"
"H5768","child","3","Not relevant"
"H5768","little ones","3","Not relevant"
"H5774A","flies","3","Could impact IB"
"H5774A","fly away","3","Could impact IB"
"H5782","awaken","3","Could impact IB"
"H5782","stir","3","Could impact IB"
"H5782","stirring","3","Could impact IB"
"H5782","wielded","3","Could impact IB"
"H5785","goatskins","3","Could impact IB"
"H5795","young goat","3","Not relevant"
"H5828","helper","3","Could impact IB"
"H5831","ezra","3","Not relevant"
"H5835","court","3","Could impact IB"
"H5859","ijon","3","Could impact IB"
"H5861","birds of prey","3","Could impact IB"
"H5874","en-dor","3","Not relevant"
"H5899","city","3","Not relevant"
"H5907G","achbor","3","Could impact IB"
"H5918","ochran","3","Could impact IB"
"H5922","about","3","Not relevant"
"H5922","concerning","3","Could impact IB"
"H5922","to you","3","Not relevant"
"H5931","complaint","3","Could impact IB"
"H5939","dusk","3","Could impact IB"
"H5954","brought in","3","Not relevant"
"H5955","gleanings","3","Could impact IB"
"H5959","virgin","3","Could impact IB"
"H5980","alongside","3","Could impact IB"
"H5980","at","3","Not relevant"
"H5980","beside","3","Not relevant"
"H5988H","ammiel","3","Not relevant"
"H5989G","ammihud","3","Not relevant"
"H5995","sheaves","3","Could impact IB"
"H5996","ammishaddai","3","Could impact IB"
"H5998","toils","3","Could impact IB"
"H6003","amalekite","3","Could impact IB"
"H6010M","valley","3","Not relevant"
"H6010O","valley","3","Not relevant"
"H6010Q","valley","3","Not relevant"
"H6016A","sheaves","3","Could impact IB"
"H6056","branches","3","Not relevant"
"H6071","sweet wine","3","Could impact IB"
"H6076A","hill","3","Could impact IB"
"H6082","young","3","Not relevant"
"H6083","plaster","3","Could impact IB"
"H6086J","shaft","3","Could impact IB"
"H6111","azmon","3","Could impact IB"
"H6136","stump","3","Could impact IB"
"H6152B","arabia","3","Could impact IB"
"H6162","pledge","3","Could impact IB"
"H6166A","arad","3","Not relevant"
"H6186A","prepare","3","Could impact IB"
"H6186A","set","3","Not relevant"
"H6215I","esau","3","Not relevant"
"H6222G","asaiah","3","Could impact IB"
"H6235","20,000","3","Not relevant"
"H6235","tens","3","Not relevant"
"H6237","tenth","3","Not relevant"
"H6242","120,000","3","Not relevant"
"H6242","twenty-fifth","3","Could impact IB"
"H6253","ashtoreth","3","Not relevant"
"H6258","already","3","Could impact IB"
"H6258","lord","3","Not relevant"
"H6268","ancient","3","Could impact IB"
"H6274","othniel","3","Not relevant"
"H6285","forehead","3","Not relevant"
"H6295","pagiel","3","Could impact IB"
"H6298","meet","3","Could impact IB"
"H6301","pedahzur","3","Could impact IB"
"H6322G","pul","3","Could impact IB"
"H6327A","dispersed","3","Could impact IB"
"H6329","obtains","3","Could impact IB"
"H6332","pur","3","Could impact IB"
"H6341A","snares","3","Could impact IB"
"H6360","hammer","3","Could impact IB"
"H6362","open","3","Not relevant"
"H6367","pi-hahiroth","3","Could impact IB"
"H6369","phicol","3","Could impact IB"
"H6378","flask","3","Could impact IB"
"H6403","delivered","3","Could impact IB"
"H6403","rescue","3","Could impact IB"
"H6412A","fugitive","3","Could impact IB"
"H6412A","fugitives","3","Could impact IB"
"H6438G","corner","3","Could impact IB"
"H6441","inside","3","Could impact IB"
"H6443","jewels","3","Not relevant"
"H6444","peninnah","3","Could impact IB"
"H6453","passover offerings","3","Could impact IB"
"H6467","done","3","Not relevant"
"H6472","bells","3","Could impact IB"
"H6486","oversight","3","Could impact IB"
"H6494","pekahiah","3","Not relevant"
"H6496","overseer","3","Could impact IB"
"H6497","gourds","3","Could impact IB"
"H6506","mule","3","Could impact IB"
"H6524A","budded","3","Could impact IB"
"H6530","violent","3","Could impact IB"
"H6544B","hang loose","3","Could impact IB"
"H6547R","pharaoh’s","3","Not relevant"
"H6566","spreads","3","Not relevant"
"H6572B","copy","3","Could impact IB"
"H6581","spreads","3","Not relevant"
"H6597","sudden","3","Could impact IB"
"H6605A","loosed","3","Could impact IB"
"H6605A","opens","3","Not relevant"
"H6607","entry","3","Could impact IB"
"H6621","suddenly","3","Could impact IB"
"H6622","interpreted","3","Could impact IB"
"H6629G","sheepfolds","3","Could impact IB"
"H6629H","sheep","3","Not relevant"
"H6643B","gazelles","3","Could impact IB"
"H6647","be wet","3","Could impact IB"
"H6669","yellow","3","Could impact IB"
"H6676","neck","3","Not relevant"
"H6679A","hunted","3","Could impact IB"
"H6686","zuar","3","Not relevant"
"H6699","design","3","Could impact IB"
"H6701","zurishaddai","3","Could impact IB"
"H6716","ships","3","Not relevant"
"H6718A","hunter","3","Could impact IB"
"H6718B","provisions","3","Could impact IB"
"H6723","drought","3","Could impact IB"
"H6731A","flowers","3","Not relevant"
"H6731A","plate","3","Could impact IB"
"H6738","protection","3","Could impact IB"
"H6743B","thrive","3","Could impact IB"
"H6747","dish","3","Could impact IB"
"H6750","tingle","3","Could impact IB"
"H6752","shadows","3","Could impact IB"
"H6760","lame","3","Could impact IB"
"H6763","boards","3","Could impact IB"
"H6767D","cymbals","3","Could impact IB"
"H6774","thirsty ground","3","Could impact IB"
"H6775","yoked","3","Could impact IB"
"H6776","couple","3","Could impact IB"
"H6777","veil","3","Not relevant"
"H6778","clusters of raisins","3","Could impact IB"
"H6788","top","3","Could impact IB"
"H6793C","buckler","3","Could impact IB"
"H6793C","large shields","3","Not relevant"
"H6797","turban","3","Could impact IB"
"H6805","marched","3","Could impact IB"
"H6809","veil","3","Not relevant"
"H6810","little ones","3","Not relevant"
"H6810","youngest","3","Not relevant"
"H6833","sparrow","3","Not relevant"
"H6835","jug","3","Could impact IB"
"H6855","zipporah","3","Not relevant"
"H6872A","bag","3","Could impact IB"
"H6876","tyrians","3","Could impact IB"
"H6877","stronghold","3","Could impact IB"
"H6886","zarephath","3","Not relevant"
"H6892B","vomit","3","Could impact IB"
"H6906","rob","3","Could impact IB"
"H6909","kabzeel","3","Could impact IB"
"H6912","burying","3","Could impact IB"
"H6914","kibroth-hattaavah","3","Could impact IB"
"H6915","head","3","Not relevant"
"H6915","heads","3","Not relevant"
"H6919","kindled","3","Could impact IB"
"H6921","eastern","3","Could impact IB"
"H6923","before","3","Not relevant"
"H6924H","ancient","3","Could impact IB"
"H6927","former state","3","Could impact IB"
"H6931G","east","3","Could impact IB"
"H6946H","meribah-kadesh","3","Could impact IB"
"H6967","stature","3","Could impact IB"
"H6996A","young","3","Not relevant"
"H7008","smoke","3","Could impact IB"
"H7062","handful","3","Not relevant"
"H7070I","cubits","3","Not relevant"
"H7074H","kenizzite","3","Could impact IB"
"H7083","case","3","Not relevant"
"H7093","final","3","Could impact IB"
"H7097A","border","3","Could impact IB"
"H7097A","tip","3","Could impact IB"
"H7101","rulers","3","Could impact IB"
"H7112","cut","3","Not relevant"
"H7117","end","3","Not relevant"
"H7126G","come","3","Not relevant"
"H7126G","come near","3","Not relevant"
"H7126H","brings","3","Not relevant"
"H7127","came near","3","Not relevant"
"H7134","axes","3","Could impact IB"
"H7136A","met","3","Could impact IB"
"H7151","cities","3","Could impact IB"
"H7168","pieces","3","Could impact IB"
"H7176","town","3","Could impact IB"
"H7179","chaff","3","Could impact IB"
"H7183B","attentive","3","Could impact IB"
"H7184","flagons","3","Could impact IB"
"H7192","money","3","Not relevant"
"H7198","archers","3","Could impact IB"
"H7223H","old","3","Not relevant"
"H7229","chief","3","Could impact IB"
"H7236","grew","3","Could impact IB"
"H7272","followed","3","Could impact IB"
"H7272","times","3","Not relevant"
"H7284","agreement","3","Could impact IB"
"H7314","height","3","Not relevant"
"H7324","draw","3","Could impact IB"
"H7328","mysteries","3","Could impact IB"
"H7336","rulers","3","Could impact IB"
"H7342H","large","3","Not relevant"
"H7350","away","3","Not relevant"
"H7350","long ago","3","Could impact IB"
"H7354","rachel’s","3","Not relevant"
"H7368","far away","3","Not relevant"
"H7368","far off","3","Not relevant"
"H7381","scent","3","Could impact IB"
"H7381","smell","3","Could impact IB"
"H7386","worthless","3","Could impact IB"
"H7389A","poverty","3","Could impact IB"
"H7392","carried","3","Not relevant"
"H7392","chariot","3","Not relevant"
"H7394G","rechab","3","Not relevant"
"H7402","traded","3","Could impact IB"
"H7404","trade","3","Could impact IB"
"H7413","lofty place","3","Could impact IB"
"H7415","worms","3","Could impact IB"
"H7417A","rimmon","3","Not relevant"
"H7453","companion","3","Could impact IB"
"H7453","companions","3","Could impact IB"
"H7453","comrade","3","Could impact IB"
"H7453","fellow","3","Could impact IB"
"H7459","famine","3","Could impact IB"
"H7475","striving","3","Could impact IB"
"H7481","roar","3","Could impact IB"
"H7481","thundered","3","Could impact IB"
"H7481","thunders","3","Could impact IB"
"H7535","however","3","Not relevant"
"H7535","yet","3","Not relevant"
"H7540","dance","3","Could impact IB"
"H7541","temple","3","Not relevant"
"H7543","perfumer","3","Could impact IB"
"H7550","wafer","3","Could impact IB"
"H7560","signed","3","Not relevant"
"H7574","broom tree","3","Could impact IB"
"H7579","drawers","3","Could impact IB"
"H7588","noise","3","Could impact IB"
"H7588","roaring","3","Could impact IB"
"H7597B","shealtiel","3","Could impact IB"
"H7604","remaining","3","Could impact IB"
"H7604","rest","3","Not relevant"
"H7604","survived","3","Could impact IB"
"H7611","left","3","Not relevant"
"H7617","captives","3","Could impact IB"
"H7617","carried away","3","Not relevant"
"H7641B","grain","3","Could impact IB"
"H7666","sell","3","Not relevant"
"H7675","seat","3","Could impact IB"
"H7676","weeks","3","Could impact IB"
"H7690","great","3","Not relevant"
"H7699B","breast","3","Could impact IB"
"H7701","violence","3","Could impact IB"
"H7704G","region","3","Could impact IB"
"H7704H","field","3","Not relevant"
"H7708","siddim","3","Could impact IB"
"H7710","blighted","3","Could impact IB"
"H7713","ranks","3","Could impact IB"
"H7776","foxes","3","Not relevant"
"H7776","jackals","3","Could impact IB"
"H7789","see","3","Not relevant"
"H7791A","wall","3","Not relevant"
"H7792","walls","3","Not relevant"
"H7837","day","3","Not relevant"
"H7847","astray","3","Could impact IB"
"H7857","rinsed","3","Could impact IB"
"H7872","gray head","3","Could impact IB"
"H7892A","musical","3","Could impact IB"
"H7902","emission","3","Could impact IB"
"H7910","drunk","3","Not relevant"
"H7910","drunkards","3","Could impact IB"
"H7916","hired hand","3","Could impact IB"
"H7957","flame","3","Could impact IB"
"H7962","warning","3","Could impact IB"
"H7969","300,000","3","Not relevant"
"H7969","603,550","3","Not relevant"
"H7970","30,000","3","Not relevant"
"H7970","430","3","Not relevant"
"H7970","thirty-five","3","Could impact IB"
"H7970","thirty-ninth","3","Could impact IB"
"H7970","thirty-seventh","3","Could impact IB"
"H7973","weapon","3","Could impact IB"
"H7997B","plunder","3","Could impact IB"
"H7997B","seize","3","Could impact IB"
"H8008","cloak","3","Not relevant"
"H8008","garment","3","Not relevant"
"H8008","garments","3","Not relevant"
"H8017","shelumiel","3","Could impact IB"
"H8040G","north","3","Could impact IB"
"H8041","left","3","Not relevant"
"H8042H","north","3","Could impact IB"
"H8052","message","3","Could impact IB"
"H8064","highest","3","Not relevant"
"H8067","sheminith","3","Could impact IB"
"H8083","eighth","3","Not relevant"
"H8084","180,000","3","Not relevant"
"H8084","80,000","3","Not relevant"
"H8121","east","3","Could impact IB"
"H8121","toward the sunrise","3","Could impact IB"
"H8128","teeth","3","Not relevant"
"H8133","change","3","Could impact IB"
"H8141","430","3","Not relevant"
"H8145","again","3","Not relevant"
"H8149","senir","3","Could impact IB"
"H8154","plunderers","3","Could impact IB"
"H8155","plundered","3","Could impact IB"
"H8163B","goats","3","Not relevant"
"H8177","hair","3","Not relevant"
"H8181","hairy","3","Could impact IB"
"H8185","hairs","3","Not relevant"
"H8198","slaves","3","Not relevant"
"H8222","lips","3","Not relevant"
"H8248G","drink","3","Not relevant"
"H8254","weighed out","3","Could impact IB"
"H8259","looked down","3","Could impact IB"
"H8269","keeper","3","Not relevant"
"H8269","rulers","3","Could impact IB"
"H8278","finely worked","3","Could impact IB"
"H8300","left","3","Not relevant"
"H8300","remaining","3","Could impact IB"
"H8300","remnant","3","Could impact IB"
"H8300","survivor","3","Could impact IB"
"H8302B","breastplate","3","Could impact IB"
"H8304H","seraiah","3","Could impact IB"
"H8304N","seraiah","3","Could impact IB"
"H8316","fire","3","Not relevant"
"H8318","insects","3","Could impact IB"
"H8319","whistle","3","Could impact IB"
"H8327","root","3","Not relevant"
