strongNumber,stepGloss,stepTransliteration,language,count
G2880,to satisfy,korennumi,Greek,3
G2881,Corinthian,korinthios,Greek,4
G2882,Corinth,korinthos,Greek,8
G2883,Cornelius,kornēlios,Greek,10
G2884,cor,koros,Greek,11
G2885,to arrange,kosmeō,Greek,19
G2886,earthly,kosmikos,Greek,2
G2887,respectable,kosmios,Greek,3
G2888,world power,kosmokratōr,Greek,1
G2889,world,kosmos,Greek,216
G2890,Quartus,kouartos,Greek,1
G2891,stand up!,koumi,Greek,1
G2892,guard,koustōdia,Greek,3
G2893,to lighten,koufizō,Greek,11
G2894,basket,kofinos,Greek,7
G2895,bed,krabbatos,Greek,12
G2897,dissipation,kraipalē,Greek,1
G2898,Skull,kranion,Greek,6
G2899,edge,kraspedon,Greek,11
G2901,to strengthen,krataioō,Greek,70
G2902,to grasp/seize,krateō,Greek,135
G2903,excellent,kratistos,Greek,9
G2905,to shout,kraugazō,Greek,11
G2906,shouting,kraugē,Greek,57
G2910,to hang,kremaō,Greek,38
G2911,cliff,krēmnos,Greek,5
G2912,Cretan,krēs,Greek,6
G2913,Crescens,krēskēs,Greek,1
G2914,Crete,krētē,Greek,6
G2915,barley,krithē,Greek,36
G2916,barley,krithinos,Greek,7
G2917,judgment,krima,Greek,232
G2918,lily,krinon,Greek,25
G2921,Crispus,krispos,Greek,2
G2922,court/lawsuit,kritērion,Greek,8
G2923,judge,kritēs,Greek,71
G2924,discerning,kritikos,Greek,1
G2925,to knock,krouō,Greek,11
G2926,cellar,kruptē,Greek,1
G2927,hidden,kruptos,Greek,29
G2928,to hide,kruptō,Greek,147
G2929,be clear,krustallizō,Greek,1
G2930,crystal,krustallos,Greek,8
G2931,in secret,krufē,Greek,12
G2932,to posses,ktaomai,Greek,94
G2933,possession,ktēma,Greek,11
G2934,animal,ktēnos,Greek,248
G2935,owner,ktētōr,Greek,1
G2936,to create,ktizō,Greek,46
G2937,creation,ktisis,Greek,20
G2938,creature,ktisma,Greek,4
G2939,creator,ktistēs,Greek,2
G2940,cunning,kubeia,Greek,1
G2941,administration,kubernēsis,Greek,5
G2942,captain,kubernētēs,Greek,6
G2943,around,kuklothen,Greek,76
G2944,to surround,kukloō,Greek,80
G2945,surrounding,kuklō,Greek,219
G2946,wallowing,kulisma,Greek,1
G2947,to wallow,kuliō,Greek,12
G2948,crippled,kullos,Greek,7
G2949,a wave,kuma,Greek,22
G2950,cymbal,kumbalon,Greek,17
G2951,cumin,kuminon,Greek,4
G2952,little dog,kunarion,Greek,4
G2953,Cyprus,kuprios,Greek,3
G2954,Cyprus,kupros,Greek,7
G2955,to stoop/bend down,kuptō,Greek,19
G2956,Cyrene,kurēnaios,Greek,6
G2959,lady,kuria,Greek,10
G2960,the Lord’s,kuriakos,Greek,2
G2962G,lord: God,kurios,Greek,8264
G2964,to affirm,kuroō,Greek,4
G2966,corpse,kōlon,Greek,9
G2967,to prevent,kōluō,Greek,35
G2968,village,kōmē,Greek,97
G2969,village,kōmopolis,Greek,1
G2970,orgy,kōmos,Greek,3
G2971,gnat,kōnōps,Greek,1
G2974,deaf/mute,kōfos,Greek,27
G2975,to choose by lot,lanchanō,Greek,5
G2976G,Lazarus,lazaros,Greek,15
G2976H,Lazarus,lazaros,Greek,11
G2977,quietly,lathra,Greek,10
G2978,storm,lailaps,Greek,5
G2979,to kick,laktizō,Greek,2
G2980,to speak,laleō,Greek,1380
G2981,speech,lalia,Greek,14
G2982,why?,lama,Greek,2
G2983,to take,lambanō,Greek,1361
G2985,window,lampas,Greek,23
G2986,shining,lampros,Greek,9
G2987,brightness,lamprotēs,Greek,5
G2988,magnificently,lamprōs,Greek,1
G2989,to shine,lampō,Greek,10
G2990,be hidden,lanthanō,Greek,18
G2991,engraved,laxeutos,Greek,2
G2992,a people,laos,Greek,1895
G2993,Laodicea,laodikeia,Greek,7
G2994,Laodicean,laodikeus,Greek,3
G2995,throat,larugx,Greek,18
G2996,Lasea,lasaia,Greek,1
G2997,to burst,laschō,Greek,1
G2998,to hew,latomeō,Greek,13
G3001,plant,lachanon,Greek,8
G3003,Legion,legeōn,Greek,4
G3004G,to say: says,legō,Greek,3420
G3004H,to say: name,legō,Greek,60
G3005,remnant,leimma,Greek,4
G3006,smooth,leios,Greek,36
G3007,to lack,leipō,Greek,9
G3008,to minister,leitourgeō,Greek,98
G3010,ministering,leitourgikos,Greek,9
G3011,minister,leitourgos,Greek,20
G3012,towel,lention,Greek,2
G3013,scale,lepis,Greek,8
G3014,leprosy,lepra,Greek,43
G3015,leprous,lepros,Greek,23
G3016,coin,leptos,Greek,27
G3017I,Levi,leui,Greek,6
G3017J,Levi,leui,Greek,7
G3019,Levite,leuitēs,Greek,272
G3020,Levitical,leuitikos,Greek,1
G3021,to bleach,leukainō,Greek,7
G3022,white,leukos,Greek,57
G3023,lion,leōn,Greek,124
G3024,forgetfulness,lēthē,Greek,5
G3025,winepress,lēnos,Greek,25
G3026,nonsense,lēros,Greek,1
G3027,robber/rebel,lēstēs,Greek,20
G3028,receiving,lēpsis,Greek,3
G3029,greatly,lian,Greek,25
G3030,frankincense,libanos,Greek,91
G3031,censer,libanōtos,Greek,3
G3032,Freedmen,libertinos,Greek,1
G3034,to stone,lithazō,Greek,11
G3035,stone,lithinos,Greek,27
G3036,to stone,lithoboleō,Greek,38
G3037,stone,lithos,Greek,330
G3038,The Stone Pavement,lithostrōtos,Greek,4
G3039,to crush,likmaō,Greek,18
G3041,lake,limnē,Greek,14
G3042,hunger,limos,Greek,119
G3043,linen/wick,linon,Greek,9
G3044,Linus,linos,Greek,1
G3046,pound,litra,Greek,2
G3047,southwest,lips,Greek,47
G3048,collection,logia,Greek,2
G3051,oracles,logion,Greek,55
G3052,learned,logios,Greek,1
G3057,spear,lonchē,Greek,10
G3058,to revile,loidoreō,Greek,12
G3060,reviler,loidoros,Greek,4
G3061,pestilence,loimos,Greek,40
G3062,remaining,loipos,Greek,118
G3063,henceforth,loipon,Greek,25
G3064,henceforth,loipou,Greek,2
G3065,Luke,loukas,Greek,4
G3066,Lucius,loukios,Greek,2
G3067,washing,loutron,Greek,4
G3068,to wash,louō,Greek,50
G3069,Lydda,ludda,Greek,3
G3070,Lydia,ludia,Greek,5
G3071,Lycaonia,lukaonia,Greek,1
G3072,Lycaonian,lukaonisti,Greek,1
G3074,wolf,lukos,Greek,14
G3075,to ravage,lumainomai,Greek,17
G3078,Lysanias,lusanias,Greek,1
G3079,Lysias,lusias,Greek,3
G3080,divorce,lusis,Greek,4
G3081,to profit,lusitelei,Greek,1
G3082,Lystra,lustra,Greek,6
G3083,ransom,lutron,Greek,23
G3084,to ransom,lutroō,Greek,95
G3085,redemption,lutrōsis,Greek,13
G3086,redeemer,lutrōtēs,Greek,3
G3087,lampstand,luchnia,Greek,53
G3088,lamp,luchnos,Greek,52
G3089,to loose,luō,Greek,62
G3090,Lois,lōis,Greek,1
G3091,Lot,lōt,Greek,39
G3093,Magadan,magdala magadan,Greek,1
G3094,Magdalene,magdalēnē,Greek,12
G3095,magic,mageia,Greek,1
G3096,to practice magic,mageuō,Greek,1
G3097,sage,magos,Greek,14
G3098,Magog,magōg,Greek,5
G3099,Midian,madian,Greek,70
G3100,to disciple,mathēteuō,Greek,4
G3101,disciple,mathētēs,Greek,272
G3102,disciple,mathētria,Greek,1
G3106,to bless,makarizō,Greek,14
G3107,blessed,makarios,Greek,92
G3109,Macedonia,makedonia,Greek,25
G3110,Macedonia,makedōn,Greek,6
G3111,meat market,makellon,Greek,1
G3112,far,makran,Greek,66
G3113,from afar,makrothen,Greek,49
G3117,long/distant,makros,Greek,15
G3118,long-lived,makrochronios,Greek,4
G3119,sickness,malakia,Greek,18
G3120,soft/effeminate,malakos,Greek,6
G3122,especially,malista,Greek,12
G3123G,more,mallon,Greek,109
G3123H,more: rather,mallon,Greek,32
G3124,Malchus,malchos,Greek,1
G3125,grandmother,mammē,Greek,1
G3126,wealth,mammōnas,Greek,4
G3127,Manaen,manaēn,Greek,1
G3129,to learn,manthanō,Greek,60
G3131,manna,manna,Greek,16
G3132,to divine,manteuomai,Greek,13
G3133,to fade,marainō,Greek,3
G3134,"Come, Lord!",maran atha,Greek,1
G3135,pearl,margaritēs,Greek,9
G3136,Martha,martha,Greek,13
G3137G,Mary,maria,Greek,70
G3137I,Mary,maria,Greek,20
G3137J,Mary,maria,Greek,21
G3137K,Mary,maria,Greek,1
G3137L,Mary,maria,Greek,1
G3137M,Mary,maria,Greek,2
G3138,Mark,markos,Greek,8
G3139,marble,marmaros,Greek,1
G3140,to testify,martureō,Greek,94
G3141,testimony,marturia,Greek,69
G3142,testimony,marturion,Greek,243
G3143,to testify,marturomai,Greek,5
G3144,witness,martus,Greek,90
G3145,to gnaw,massaomai,Greek,2
G3146,to whip,mastigoō,Greek,23
G3147,to whip,mastizō,Greek,2
G3148,whip,mastix,Greek,24
G3149,breast,mastos mazos,Greek,35
G3151,babbler,mataiologos,Greek,1
G3152,futile,mataios,Greek,77
G3153,futility,mataiotēs,Greek,54
G3154,to make futile,mataioō,Greek,8
G3155,in vain,matēn,Greek,21
G3156,Matthew,matthaios,Greek,5
G3159,Matthias,matthias maththias,Greek,2
G3162,sword,machaira,Greek,212
G3163,quarrel,machē,Greek,21
G3164,to quarrel,machomai,Greek,23
G3165,me,me,Greek,1419
G3166,to boast,megalaucheō,Greek,3
G3167,mighty,megaleios,Greek,4
G3168,majesty,megaleiotēs,Greek,4
G3169,majestic,megaloprepēs,Greek,2
G3170,to magnify,megalunō,Greek,89
G3171,greatly,megalōs,Greek,9
G3172,majesty,megalōsunē,Greek,21
G3173,great,megas,Greek,867
G3174,greatness,megethos,Greek,15
G3175,great man,megistan,Greek,23
G3178,drunkenness,methē,Greek,13
G3179,to move,methistēmi,Greek,30
G3180,scheme,methodeia,Greek,2
G3182,to get drunk,methuskō,Greek,10
G3183,drunkard,methusos,Greek,4
G3184,to get drunk,methuō,Greek,41
G3188,ink,melan,Greek,3
G3189,black,melas,Greek,8
G3191,to meditate/plot,meletaō,Greek,33
G3192,honey,meli,Greek,57
G3194,Malta,melitē,Greek,1
G3196,member,melos,Greek,44
G3198,Melchizedek,melchisedek,Greek,11
G3199,to concern,melō,Greek,11
G3200,parchment,membrana,Greek,1
G3201,to blame,memfomai,Greek,3
G3202,malcontent,mempsimoiros,Greek,1
G3304,rather,menounge,Greek,4
G3305,yet,mentoi,Greek,14
G3306,to stay,menō,Greek,177
G3314,noon/south,mesēmbria,Greek,25
G3315,to guarantee,mesiteuō,Greek,1
G3316,mediator,mesitēs,Greek,7
G3317,midnight,mesonuktios,Greek,8
G3318,Mesopotamia,mesopotamia,Greek,19
G3319,midst,mesos,Greek,797
G3320,wall,mesotoichos,Greek,1
G3321,midair,mesouranēma,Greek,3
G3322,be in the middle,mesoō,Greek,6
G3323,Messiah,messias,Greek,2
G3324,full,mestos,Greek,12
G3325,to fill,mestoō,Greek,1
G3326,with/after,meta,Greek,2344
G3327,to depart,metabainō,Greek,12
G3329,to turn,metagō,Greek,5
G3331,removal/change,metathesis,Greek,3
G3332,to leave,metairō,Greek,8
G3333,to summon,metakaleō,Greek,6
G3334,to shift,metakineō,Greek,7
G3335,to partake,metalambanō,Greek,7
G3336,partaking of,metalēpsis,Greek,1
G3337,to exchange,metallassō,Greek,4
G3342,between/meanwhile,metaxu,Greek,15
G3343,to summon,metapempō,Greek,11
G3344,to change,metastrefō,Greek,21
G3345,to transform,metaschēmatizō,Greek,5
G3347,afterward,metepeita,Greek,1
G3348,to share,metechō,Greek,12
G3349,to worry,meteōrizō,Greek,8
G3352,participation,metochē,Greek,2
G3353,partaker,metochos,Greek,11
G3354,to measure,metreō,Greek,17
G3355,measure,metrētēs,Greek,4
G3357,moderately,metriōs,Greek,1
G3358,measure,metron,Greek,93
G3359,forehead,metōpon,Greek,16
G3360,until,mechri,Greek,34
G3362,unless,ean mē,Greek,0
G3363,lest/so that... not,hina mē,Greek,0
G3365,surely not,mēdamōs,Greek,18
G3366,nor,mēde,Greek,162
G3367,nothing,mēdeis,Greek,127
G3368,never,mēdepote,Greek,1
G3369,not yet,mēdepō,Greek,1
G3371,never again,mēketi,Greek,26
G3372,length,mēkos,Greek,89
G3373,to grow,mēkunō,Greek,4
G3374,sheepskin,mēlōtē,Greek,6
G3375,certainly,mēn,Greek,34
G3376,month,mēn,Greek,273
G3377,to disclose,mēnuō,Greek,4
G3378,isn't it?,mē ouk,Greek,0
G3380,not yet,mēpō,Greek,2
G3381,so that,mēpōs,Greek,0
G3382,thigh,mēros,Greek,31
G3383,neither,mēte,Greek,44
G3384,mother,mētēr,Greek,313
G3385,surely not,mēti,Greek,23
G3386,how much more,mētige,Greek,0
G3388,womb,mētra,Greek,29
G3389,matricide,mētralōas,Greek,1
G3393,defilement,miasma,Greek,4
G3395,mixture,migma,Greek,1
G3396,to mix,mignumi,Greek,11
G3398,small,mikros,Greek,183
G3399,Miletus,milētos,Greek,4
G3400,mile,milion,Greek,1
G3401,to imitate,mimeomai,Greek,4
G3402,imitator,mimētēs,Greek,7
G3404,to hate,miseō,Greek,181
G3405,recompense,misthapodosia,Greek,3
G3406,rewarder,misthapodotēs,Greek,1
G3407,hired worker,misthios,Greek,5
G3408,wage,misthos,Greek,74
G3409,to hire,misthoō,Greek,17
G3410,rented home,misthōma,Greek,14
G3411,hired worker,misthōtos,Greek,20
G3412,Mitylene,mitulēnē,Greek,1
G3413,Michael,michaēl,Greek,15
G3414,mina,mna,Greek,14
G3416,Mnason,mnasōn,Greek,1
G3418,tomb,mnēma,Greek,31
G3419,grave,mnēmeion,Greek,56
G3423,to betroth,mnēsteuō,Greek,11
G3424,hardly talking,mogilalos,Greek,2
G3425,hardly,mogis,Greek,1
G3426,bucket,modios,Greek,3
G3427,to me,moi,Greek,762
G3428,adulterous,moichalis,Greek,14
G3429,to commit adultery,moichaō,Greek,15
G3430,adultery,moicheia,Greek,8
G3431,to commit adultery,moicheuō,Greek,27
G3432,adulterer,moichos,Greek,10
G3433,hardly,molis,Greek,8
G3434,Moloch,moloch,Greek,8
G3437,complaint,momfē mempsis,Greek,1
G3438,abode,monē,Greek,2
G3439,unique,monogenēs,Greek,11
G3440,only,monon,Greek,23
G3441,alone,monos,Greek,215
G3442,one-eyed,monofthalmos,Greek,2
G3443,to leave alone,monoō,Greek,1
G3444,form,morfē,Greek,11
G3446,form,morfōsis,Greek,2
G3447,to make a calf,moschopoieō,Greek,1
G3448,calf,moschos,Greek,232
G3449,toil,mochthos,Greek,42
G3450,of me,mou,Greek,3784
G3451,musician,mousikos,Greek,7
G3452,marrow,muelos,Greek,4
G3453,to initiate,mueō,Greek,1
G3454,myth,muthos,Greek,5
G3455,to roar,mukaomai,Greek,1
G3456,to mock,muktērizō,Greek,15
G3457,millstone,mulikos,Greek,2
G3458,millstone,mulos,Greek,13
G3461,myriad,murias,Greek,36
G3463,myriad,murioi,Greek,10
G3465,Mysia,musia,Greek,2
G3466,mystery,mustērion,Greek,37
G3467,be nearsighted,muōpazō,Greek,1
G3468,wound,mōlōps,Greek,7
G3469,to criticize,mōmaomai,Greek,3
G3470,blemish,mōmos,Greek,19
G3473,foolish talk,mōrologia,Greek,1
G3475,Moses,mōusēs mōsēs,Greek,872
G3478,Nazareth,nazareth nazara,Greek,15
G3479,Nazareth,nazarēnos,Greek,6
G3480,Nazareth,nazōraios,Greek,15
G3482,Nathanael,nathanaēl,Greek,20
G3483,yes,nai,Greek,40
G3484,Nain,nain,Greek,2
G3485,temple,naos,Greek,117
G3487,nard,nardos,Greek,5
G3488,Narcissus,narkissos,Greek,1
G3489,be shipwrecked,nauageō,Greek,2
G3490,captain,nauklēros,Greek,1
G3491,ship,naus,Greek,15
G3492,sailor,nautēs,Greek,3
G3494,young man,neanias,Greek,16
G3495,young man,neaniskos,Greek,82
G3497,Naaman,neeman naiman,Greek,22
G3500,death,nekrōsis,Greek,3
G3501,new,neos,Greek,106
G3502,nestling,neossos,Greek,21
G3503,youth,neotēs,Greek,55
G3504,new convert,neofutos,Greek,5
G3506,to motion,neuō,Greek,4
G3507,cloud,nefelē,Greek,140
G3508,Naphtali,nefthaleim,Greek,55
G3509,cloud,nefos,Greek,26
G3511,temple guard,neōkoros,Greek,1
G3512,youthful,neōterikos,Greek,1
G3513,as surely as,nē,Greek,3
G3514,to spin,nēthō,Greek,12
G3515,be childlike,nēpiazō,Greek,1
G3516,child,nēpios,Greek,47
G3517,Nereus,nēreus,Greek,1
G3519,small island,nēsion,Greek,1
G3520,island,nēsos,Greek,41
G3521,fasting,nēsteia,Greek,35
G3522,to fast,nēsteuō,Greek,43
G3523,fasting,nēstis,Greek,2
G3526,Niger,niger,Greek,1
G3527,Nicanor,nikanōr,Greek,1
G3528,to conquer,nikaō,Greek,31
G3529,victory,nikē,Greek,3
G3530,Nicodemus,nikodēmos,Greek,5
G3531,Nicolaitan,nikolaitēs,Greek,2
G3532,Nicolaus,nikolaos,Greek,1
G3533,Nicopolis,nikopolis,Greek,2
G3534,victory,nikos,Greek,14
G3536,Ninevite,nineuitēs,Greek,3
G3537,wash basin,niptēr,Greek,1
G3538,to wash,niptō,Greek,42
G3539,to understand,noeō,Greek,39
G3541,illegitimate,nothos,Greek,1
G3542,pasture,nomē,Greek,34
G3543,to think,nomizō,Greek,15
G3544,lawyer,nomikos,Greek,9
G3545,lawfully,nomimōs,Greek,2
G3547,teacher of the law,nomodidaskalos,Greek,3
G3548,law,nomothesia,Greek,2
G3549,to give laws,nomotheteō,Greek,9
G3550,lawgiver,nomothetēs,Greek,2
G3551,law,nomos,Greek,432
G3555,chick,nossia,Greek,16
G3556,chick,nossion,Greek,2
G3557,to embezzle,nosfizō,Greek,4
G3558G,south,notos,Greek,95
G3558H,(Queen of) the South,notos,Greek,2
G3559,admonition,nouthesia,Greek,3
G3560,to admonish,noutheteō,Greek,18
G3561,New Moon,noumēnia,Greek,25
G3562,wisely,nounechōs,Greek,1
G3564,Nympha,numfas,Greek,1
G3565,bride,numfē,Greek,46
G3566,bridegroom,numfios,Greek,26
G3567,bridegroom,numfōn,Greek,4
G3568,now,nun,Greek,653
G3569,now,tanun,Greek,0
G3570,now,nuni,Greek,37
G3571,night,nux,Greek,296
G3572,to pierce,nussō,Greek,2
G3573,to doze,nustazō,Greek,13
G3574,a night and a day,nuchthēmeron,Greek,1
G3575,Noah,nōe,Greek,54
G3576,dull,nōthros,Greek,3
G3577,back,nōton,Greek,44
G3578,lodging,xenia,Greek,3
G3579,to host,xenizō,Greek,10
G3580,to show hospitality,xenodocheō,Greek,1
G3581,foreign,xenos,Greek,22
G3582,pitcher,xestēs,Greek,2
G3583,to dry,xērainō,Greek,75
G3584,dried up/withered,xēros,Greek,43
G3585,wooden,xulinos,Greek,17
G3586,wood,xulon,Greek,311
G3587,to shave,xuraō,Greek,30
G3588,the/this/who,ho,Greek,10000
G3589,eighty,ogdoēkonta,Greek,37
G3590,eighth,ogdoos,Greek,47
G3591,impediment,onkos,Greek,1
G3592,this,hode,Greek,441
G3593,to journey,hodeuō,Greek,2
G3594,to guide,hodēgeō,Greek,42
G3595,guide/leader,hodēgos,Greek,6
G3596,to journey,hodoiporeō,Greek,1
G3597,journey,hodoiporia,Greek,2
G3598,road,hodos,Greek,856
G3599,tooth,odous,Greek,59
G3603,which is,ho esti,Greek,0
G3605,to stink,ozō,Greek,2
G3606,whence,hothen,Greek,35
G3607,sheet,othonē,Greek,2
G3608,bandages,othonion,Greek,7
G3615,member of a house,oikiakos,Greek,2
G3624G,house: home,oikos,Greek,2006
G3630,drunkard,oinopotēs,Greek,3
G3631,wine,oinos,Greek,223
G3632,drunkenness,oinoflugia,Greek,1
G3633,to suppose,oiomai,Greek,15
G3634,such as,hoios,Greek,24
G3638,eight,oktō,Greek,76
G3639,destructive,olethros,Greek,16
G3641,little/few,oligos,Greek,96
G3643,to despise,oligōreō,Greek,2
G3644,destroyer,olothreutēs,Greek,1
G3645,to destroy,olothreuō,Greek,11
G3646,burnt offering,holokautōma,Greek,194
G3647,wholeness,holoklēria,Greek,2
G3648,whole,holoklēros,Greek,8
G3649,to wail,ololuzō,Greek,21
G3650,all,holos,Greek,329
G3651,wholly,holotelēs,Greek,1
G3652,Olympas,olumpas,Greek,1
G3653,late fig,olunthos,Greek,2
G3654,at all,holōs,Greek,5
G3655,rainstorm,ombros,Greek,2
G3656,to talk,homileō,Greek,10
G3657,association,homilia,Greek,3
G3659,eye,omma,Greek,7
G3660,to swear,omnumi,Greek,184
G3661,united,homothumadon,Greek,35
G3662,to resemble,homoiazō,Greek,2
G3664,like,homoios,Greek,113
G3665,likeness,homoiotēs,Greek,4
G3666,to liken,homoioō,Greek,44
G3667,likeness,homoiōma,Greek,43
G3668,similarly,homoiōs,Greek,43
G3669,likeness,homoiōsis,Greek,9
G3670,to confess/profess,homologeō,Greek,27
G3671,confession,homologia,Greek,11
G3672,undeniably,homologoumenōs,Greek,1
G3673,of the same trade,homotechnos,Greek,1
G3674,together,homou,Greek,6
G3676,just as,homōs,Greek,5
G3677,dream,onar,Greek,6
G3678,young donkey,onarion,Greek,1
G3679,to revile,oneidizō,Greek,52
G3680,reproach,oneidismos,Greek,53
G3681,disgrace,oneidos,Greek,38
G3682,Onesimus,onēsimos,Greek,4
G3683,Onesiphorus,onēsiforos,Greek,2
G3684,huge millstone,onikos,Greek,3
G3688,donkey,onos,Greek,118
G3689,really,ontōs,Greek,17
G3690,vinegar,oxos,Greek,12
G3691,sharp/swift,oxus,Greek,20
G3692,hole,opē,Greek,10
G3693,after,opisthen,Greek,38
G3694,after,opisō,Greek,389
G3695,to arm,hoplizō,Greek,1
G3696,weapon,hoplon,Greek,63
G3697,what sort?,hopoios,Greek,5
G3698,when(-ever),hopote,Greek,7
G3699,where(-ever),hopou,Greek,97
G3700,to appear,optanomai,Greek,1
G3701,vision,optasia,Greek,11
G3702,broiled,optos,Greek,4
G3703,fruit,opōra,Greek,3
G3704,that,hopōs,Greek,231
G3705,vision,horama,Greek,35
G3706,appearance/vision,horasis,Greek,107
G3707,visible,horatos,Greek,5
G3708G,to see: to see,horaō,Greek,379
G3708H,to see: to appear,horaō,Greek,379
G3714,hilly,oreinos,Greek,25
G3716,be upright,orthopodeō,Greek,1
G3717,upright,orthos,Greek,26
G3718,to cut straight,orthotomeō,Greek,3
G3719,to rise at dawn,orthrizō,Greek,53
G3721,morning,orthrios,Greek,2
G3722,dawn,orthros,Greek,31
G3723,correctly,orthōs,Greek,18
G3724,to determine,horizō,Greek,28
G3725,region,horion,Greek,272
G3726,to adjure,horkizō,Greek,31
G3727,oath,horkos,Greek,50
G3728,oath,horkōmosia,Greek,6
G3729,to stampede,hormaō,Greek,16
G3730,impulse,hormē,Greek,11
G3731,sudden violence,hormēma,Greek,7
G3732,bird,orneon,Greek,33
G3733,hen,ornis,Greek,4
G3734,fixed boundary,horothesia,Greek,1
G3735,mountain,oros,Greek,644
G3736,to dig,orussō,Greek,30
G3737,orphan,orfanos,Greek,45
G3738,to dance,orcheomai,Greek,11
G3739,which,hos,Greek,5551
G3740,whenever,hosakis,Greek,3
G3744,aroma,osmē,Greek,73
G3745,just as/how much,hosos,Greek,659
G3746,who,hosper,Greek,3
G3747,bone,osteon,Greek,113
G3748,who/which,hostis,Greek,268
G3749,clay,ostrakinos,Greek,18
G3750,sense of smell,osfrēsis,Greek,1
G3751,loins,osfus,Greek,64
G3752,when(-ever),hotan,Greek,305
G3753,when,hote,Greek,211
G3754G,that/since: that,hoti,Greek,4609
G3754H,that/since: since,hoti,Greek,481
G3755,until,hotou,Greek,0
G3756,no,ou,Greek,6775
G3757,whither,hou,Greek,27
G3758,aha!,oua,Greek,1
G3759,woe!,ouai,Greek,113
G3760,by no means,oudamōs,Greek,1
G3761,nor,oude,Greek,599
G3762,none,oudeis,Greek,407
G3763,never,oudepote,Greek,18
G3764,not yet,oudepō,Greek,7
G3765,not any more,ouketi,Greek,28
G3766,so,oukoun,Greek,1
G3767,therefore/then,oun,Greek,707
G3768,not yet,oupō,Greek,37
G3769,tail,oura,Greek,13
G3770,heavenly,ouranios,Greek,10
G3771,from heaven,ouranothen,Greek,2
G3772,heaven,ouranos,Greek,775
G3773,Urbanus,ourbanos,Greek,1
G3774,Uriah,ourias,Greek,42
G3776,estate,ousia,Greek,2
G3777,neither,oute,Greek,156
G3778,this/these,houtos,Greek,2919
G3780,not!,ouchi,Greek,535
G3781,debtor,ofeiletēs,Greek,7
G3782,debt,ofeilē,Greek,3
G3783,debt,ofeilēma,Greek,4
G3784,to owe,ofeilō,Greek,50
G3786,gain,ofelos,Greek,4
G3787,eye-service,ofthalmodouleia,Greek,2
G3789,snake,ofis,Greek,47
G3790,brow,ofrus,Greek,2
G3791,to disturb,ochleō,Greek,2
G3792,to riot,ochlopoieō,Greek,1
G3793,crowd,ochlos,Greek,203
G3794,stronghold,ochurōma,Greek,38
G3795,fish,opsarion,Greek,5
G3796,late,opse,Greek,8
G3797,late (rain),opsimos,Greek,8
G3798,evening,opsia,Greek,15
G3799,face,opsis,Greek,43
G3800,compensation,opsōnion,Greek,4
G3801,"was, is, will be",hhho ōn kai o ēn kai o erchomenos,Greek,0
G3802,to trap,pagideuō,Greek,3
G3803,trap,pagis,Greek,52
G3807,guardian,paidagōgos,Greek,3
G3808,boy,paidarion,Greek,201
G3809,discipline,paideia,Greek,57
G3810,instructor,paideutēs,Greek,3
G3811,to instruct,paideuō,Greek,72
G3812,from childhood,paidiothen,Greek,1
G3813,child,paidion,Greek,153
G3814,maidservant,paidiskē,Greek,87
G3815,to play,paizō,Greek,18
G3816,child,pais,Greek,416
G3817,to strike,paiō,Greek,30
G3819,of old,palai,Greek,10
G3820,old,palaios,Greek,37
G3821,oldness,palaiotēs,Greek,1
G3822,to make old,palaioō,Greek,24
G3823,struggle,palē,Greek,1
G3824,regeneration,palingenesia,Greek,2
G3825,again,palin,Greek,200
G3826,together,pamplēthei,Greek,1
G3827,great,pampolus,Greek,1
G3828,Pamphylia,pamfulia,Greek,5
G3830,innkeeper,pandocheus,Greek,1
G3831,assembly,panēguris,Greek,5
G3833,complete armor,panoplia,Greek,5
G3834,craftiness,panourgia,Greek,9
G3835,crafty,panourgos,Greek,15
G3846,to arrive,paraballō,Greek,11
G3849,to urge,parabiazomai,Greek,9
G3850,parable,parabolē,Greek,83
G3851,to risk,parabouleuomai paraboleuomai,Greek,1
G3852,order,parangelia,Greek,5
G3853,to order,parangellō,Greek,44
G3854,to come,paraginomai,Greek,165
G3855,to pass,paragō,Greek,20
G3857,paradise,paradeisos,Greek,31
G3858,to welcome,paradechomai,Greek,8
G3859,contention,paradiatribē,Greek,1
G3861,remarkable,paradoxos,Greek,1
G3862,tradition,paradosis,Greek,16
G3864,seaside,parathalassios,Greek,4
G3865,to neglect,paratheōreō,Greek,1
G3866,deposit,parathēkē,Greek,5
G3867,to urge,paraineō,Greek,2
G3868,to refuse/excuse,paraiteomai,Greek,16
G3869,to sit by,parakathizō,Greek,2
G3871,to hide,parakaluptō,Greek,3
G3872,deposit,parakatathēkē,Greek,4
G3873,be present,parakeimai,Greek,2
G3877,to follow,parakoloutheō,Greek,4
G3879,to stoop,parakuptō,Greek,10
G3880,to take,paralambanō,Greek,72
G3881,to sail past,paralegō,Greek,2
G3882,seaside,paralios,Greek,10
G3883,variation,parallagē,Greek,2
G3884,to deceive,paralogizomai,Greek,13
G3885,paralytic,paralutikos,Greek,10
G3886,to paralyze,paraluō,Greek,19
G3887,to continue,paramenō,Greek,7
G3888,to encourage,paramutheomai,Greek,4
G3889,comfort,paramuthia,Greek,1
G3891,to break the law,paranomeō,Greek,6
G3895,to defect,parapiptō,Greek,7
G3896,to sail past,parapleō,Greek,1
G3897,almost,paraplēsion,Greek,1
